   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  0.232774      0.516299      0.851513      0.510320      0.849776      0.597816E-02  0.173653E-02   1.36010      0.510320      0.509866      0.339911       0.00000       0.00000       0.00000    
  0.109648E-03  0.295318      0.508655      0.838193      0.502284      0.836323      0.637135E-02  0.186945E-02   1.33861      0.502284      0.501794      0.334529       0.00000       0.00000       0.00000    
  0.120226E-03  0.356484      0.501255      0.825217      0.494448      0.823198      0.680706E-02  0.201923E-02   1.31765      0.494448      0.493919      0.329279       0.00000       0.00000       0.00000    
  0.131825E-03  0.417097      0.493956      0.812381      0.486694      0.810204      0.726232E-02  0.217688E-02   1.29690      0.486694      0.486123      0.324082       0.00000       0.00000       0.00000    
  0.144543E-03  0.476916      0.486801      0.799746      0.479056      0.797400      0.774558E-02  0.234582E-02   1.27646      0.479056      0.478440      0.318960       0.00000       0.00000       0.00000    
  0.158489E-03  0.535673      0.479847      0.787383      0.471575      0.784850      0.827176E-02  0.253234E-02   1.25643      0.471575      0.470910      0.313940       0.00000       0.00000       0.00000    
  0.173779E-03  0.593912      0.472992      0.775153      0.464172      0.772425      0.882043E-02  0.272817E-02   1.23660      0.464172      0.463455      0.308970       0.00000       0.00000       0.00000    
  0.190545E-03  0.651161      0.466331      0.763180      0.456916      0.760237      0.941483E-02  0.294307E-02   1.21715      0.456916      0.456142      0.304095       0.00000       0.00000       0.00000    
  0.208928E-03  0.707650      0.459824      0.751407      0.449775      0.748232      0.100494E-01  0.317500E-02   1.19801      0.449775      0.448939      0.299293       0.00000       0.00000       0.00000    
  0.229085E-03  0.763646      0.453418      0.739764      0.442708      0.736346      0.107103E-01  0.341809E-02   1.17905      0.442708      0.441807      0.294538       0.00000       0.00000       0.00000    
  0.251186E-03  0.818482      0.447258      0.728431      0.435817      0.724739      0.114413E-01  0.369141E-02   1.16056      0.435817      0.434844      0.289896       0.00000       0.00000       0.00000    
  0.275420E-03  0.872826      0.441207      0.717231      0.429001      0.713252      0.122062E-01  0.397963E-02   1.14225      0.429001      0.427951      0.285301       0.00000       0.00000       0.00000    
  0.301992E-03  0.926510      0.435303      0.706211      0.422286      0.701924      0.130167E-01  0.428785E-02   1.12421      0.422286      0.421154      0.280769       0.00000       0.00000       0.00000    
  0.331127E-03  0.979268      0.429615      0.695448      0.415714      0.690819      0.139004E-01  0.462872E-02   1.10653      0.415714      0.414491      0.276328       0.00000       0.00000       0.00000    
  0.363073E-03   1.03158      0.424033      0.684808      0.409211      0.679821      0.148218E-01  0.498661E-02   1.08903      0.409211      0.407893      0.271929       0.00000       0.00000       0.00000    
  0.398101E-03   1.08307      0.418655      0.674403      0.402837      0.669024      0.158182E-01  0.537851E-02   1.07186      0.402837      0.401414      0.267610       0.00000       0.00000       0.00000    
  0.436509E-03   1.13388      0.413452      0.664190      0.396568      0.658387      0.168833E-01  0.580218E-02   1.05496      0.396568      0.395032      0.263355       0.00000       0.00000       0.00000    
  0.478622E-03   1.18428      0.408358      0.654099      0.390366      0.647852      0.179925E-01  0.624623E-02   1.03822      0.390366      0.388711      0.259141       0.00000       0.00000       0.00000    
  0.524798E-03   1.23369      0.403535      0.644297      0.384319      0.637552      0.192168E-01  0.674438E-02   1.02187      0.384319      0.382531      0.255021       0.00000       0.00000       0.00000    
  0.575429E-03   1.28266      0.398841      0.634627      0.378342      0.627356      0.204997E-01  0.727055E-02   1.00570      0.378342      0.376414      0.250942       0.00000       0.00000       0.00000    
  0.630945E-03   1.33108      0.394309      0.625124      0.372453      0.617292      0.218566E-01  0.783209E-02  0.989745      0.372453      0.370375      0.246917       0.00000       0.00000       0.00000    
  0.691816E-03   1.37867      0.390033      0.615873      0.366696      0.607419      0.233374E-01  0.845396E-02  0.974115      0.366696      0.364452      0.242968       0.00000       0.00000       0.00000    
  0.758561E-03   1.42588      0.385881      0.606743      0.361000      0.597636      0.248812E-01  0.910683E-02  0.958636      0.361000      0.358582      0.239054       0.00000       0.00000       0.00000    
  0.831745E-03   1.47238      0.381966      0.597837      0.355419      0.588017      0.265471E-01  0.982012E-02  0.943437      0.355419      0.352810      0.235207       0.00000       0.00000       0.00000    
  0.911989E-03   1.51827      0.378266      0.589127      0.349936      0.578535      0.283297E-01  0.105923E-01  0.928471      0.349936      0.347121      0.231414       0.00000       0.00000       0.00000    
  0.999975E-03   1.56378      0.374699      0.580538      0.344513      0.569136      0.301857E-01  0.114016E-01  0.913649      0.344513      0.341482      0.227654       0.00000       0.00000       0.00000    
  0.109645E-02   1.60842      0.371459      0.572234      0.339230      0.559927      0.322291E-01  0.123070E-01  0.899157      0.339230      0.335956      0.223971       0.00000       0.00000       0.00000    
  0.120223E-02   1.65265      0.368385      0.564070      0.334013      0.550805      0.343727E-01  0.132648E-01  0.884817      0.334013      0.330483      0.220322       0.00000       0.00000       0.00000    
  0.131822E-02   1.69638      0.365509      0.556071      0.328874      0.541786      0.366350E-01  0.142847E-01  0.870660      0.328874      0.325072      0.216715       0.00000       0.00000       0.00000    
  0.144540E-02   1.73932      0.362964      0.548339      0.323858      0.532924      0.391052E-01  0.154152E-01  0.856782      0.323858      0.319754      0.213169       0.00000       0.00000       0.00000    
  0.158485E-02   1.78189      0.360579      0.540733      0.318900      0.524131      0.416793E-01  0.166017E-01  0.843031      0.318900      0.314479      0.209653       0.00000       0.00000       0.00000    
  0.173775E-02   1.82379      0.358494      0.533360      0.314045      0.515465      0.444495E-01  0.178945E-01  0.829510      0.314045      0.309279      0.206186       0.00000       0.00000       0.00000    
  0.190540E-02   1.86506      0.356698      0.526201      0.309282      0.506906      0.474152E-01  0.192954E-01  0.816188      0.309282      0.304143      0.202762       0.00000       0.00000       0.00000    
  0.208923E-02   1.90595      0.355077      0.519173      0.304576      0.498410      0.505012E-01  0.207629E-01  0.802986      0.304576      0.299046      0.199364       0.00000       0.00000       0.00000    
  0.229079E-02   1.94594      0.353885      0.512453      0.299997      0.490053      0.538875E-01  0.223996E-01  0.790051      0.299997      0.294032      0.196021       0.00000       0.00000       0.00000    
  0.251180E-02   1.98546      0.352924      0.505894      0.295483      0.481762      0.574414E-01  0.241325E-01  0.777245      0.295483      0.289057      0.192705       0.00000       0.00000       0.00000    
  0.275413E-02   2.02444      0.352222      0.499516      0.291040      0.473543      0.611822E-01  0.259727E-01  0.764583      0.291040      0.284126      0.189417       0.00000       0.00000       0.00000    
  0.301984E-02   2.06248      0.351978      0.493446      0.286714      0.465434      0.652637E-01  0.280125E-01  0.752148      0.286714      0.279260      0.186174       0.00000       0.00000       0.00000    
  0.331118E-02   2.10007      0.351955      0.487523      0.282443      0.457372      0.695124E-01  0.301517E-01  0.739814      0.282443      0.274423      0.182949       0.00000       0.00000       0.00000    
  0.363064E-02   2.13683      0.352335      0.481865      0.278267      0.449390      0.740682E-01  0.324744E-01  0.727657      0.278267      0.269634      0.179756       0.00000       0.00000       0.00000    
  0.398091E-02   2.17273      0.353121      0.476467      0.274180      0.441476      0.789415E-01  0.349910E-01  0.715656      0.274180      0.264886      0.176590       0.00000       0.00000       0.00000    
  0.436498E-02   2.20811      0.354152      0.471225      0.270146      0.433600      0.840060E-01  0.376248E-01  0.703746      0.270146      0.260160      0.173440       0.00000       0.00000       0.00000    
  0.478610E-02   2.24221      0.355765      0.466349      0.266230      0.425801      0.895349E-01  0.405481E-01  0.692031      0.266230      0.255481      0.170320       0.00000       0.00000       0.00000    
