   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  0.233256      0.516310      0.851544      0.510346      0.849819      0.596352E-02  0.172519E-02   1.36017      0.510346      0.509891      0.339928       0.00000       0.00000       0.00000    
  0.109648E-03  0.295740      0.508666      0.838224      0.502310      0.836366      0.635598E-02  0.185742E-02   1.33868      0.502310      0.501820      0.334546       0.00000       0.00000       0.00000    
  0.120226E-03  0.356850      0.501265      0.825248      0.494474      0.823241      0.679092E-02  0.200644E-02   1.31772      0.494474      0.493945      0.329296       0.00000       0.00000       0.00000    
  0.131825E-03  0.417408      0.493966      0.812411      0.486720      0.810248      0.724538E-02  0.216330E-02   1.29697      0.486720      0.486149      0.324099       0.00000       0.00000       0.00000    
  0.144543E-03  0.477175      0.486811      0.799776      0.479083      0.797444      0.772781E-02  0.233141E-02   1.27653      0.479083      0.478467      0.318978       0.00000       0.00000       0.00000    
  0.158489E-03  0.535883      0.479856      0.787412      0.471603      0.784895      0.825311E-02  0.251704E-02   1.25650      0.471603      0.470937      0.313958       0.00000       0.00000       0.00000    
  0.173779E-03  0.594075      0.473001      0.775182      0.464200      0.772470      0.880088E-02  0.271195E-02   1.23667      0.464200      0.463482      0.308988       0.00000       0.00000       0.00000    
  0.190545E-03  0.651280      0.466338      0.763208      0.456944      0.760282      0.939434E-02  0.292586E-02   1.21723      0.456944      0.456169      0.304113       0.00000       0.00000       0.00000    
  0.208928E-03  0.707727      0.459831      0.751434      0.449803      0.748277      0.100280E-01  0.315676E-02   1.19808      0.449803      0.448966      0.299311       0.00000       0.00000       0.00000    
  0.229085E-03  0.763682      0.453424      0.739790      0.442736      0.736392      0.106878E-01  0.339877E-02   1.17913      0.442736      0.441835      0.294557       0.00000       0.00000       0.00000    
  0.251186E-03  0.818481      0.447263      0.728456      0.435845      0.724785      0.114177E-01  0.367093E-02   1.16063      0.435845      0.434871      0.289914       0.00000       0.00000       0.00000    
  0.275420E-03  0.872789      0.441211      0.717256      0.429030      0.713298      0.121815E-01  0.395793E-02   1.14233      0.429030      0.427979      0.285319       0.00000       0.00000       0.00000    
  0.301992E-03  0.926440      0.435306      0.706235      0.422315      0.701970      0.129909E-01  0.426489E-02   1.12429      0.422315      0.421182      0.280788       0.00000       0.00000       0.00000    
  0.331127E-03  0.979167      0.429617      0.695470      0.415743      0.690866      0.138734E-01  0.460440E-02   1.10661      0.415743      0.414519      0.276346       0.00000       0.00000       0.00000    
  0.363073E-03   1.03145      0.424034      0.684829      0.409240      0.679868      0.147936E-01  0.496089E-02   1.08911      0.409240      0.407921      0.271947       0.00000       0.00000       0.00000    
  0.398101E-03   1.08291      0.418655      0.674422      0.402866      0.669071      0.157887E-01  0.535131E-02   1.07194      0.402866      0.401442      0.267628       0.00000       0.00000       0.00000    
  0.436509E-03   1.13370      0.413450      0.664208      0.396598      0.658434      0.168526E-01  0.577341E-02   1.05503      0.396598      0.395061      0.263374       0.00000       0.00000       0.00000    
  0.478622E-03   1.18407      0.408356      0.654115      0.390395      0.647899      0.179604E-01  0.621585E-02   1.03829      0.390395      0.388740      0.259160       0.00000       0.00000       0.00000    
  0.524798E-03   1.23346      0.403532      0.644311      0.384348      0.637599      0.191833E-01  0.671227E-02   1.02195      0.384348      0.382559      0.255040       0.00000       0.00000       0.00000    
  0.575429E-03   1.28241      0.398836      0.634639      0.378371      0.627403      0.204647E-01  0.723664E-02   1.00577      0.378371      0.376442      0.250961       0.00000       0.00000       0.00000    
  0.630945E-03   1.33081      0.394303      0.625135      0.372483      0.617338      0.218201E-01  0.779631E-02  0.989821      0.372483      0.370403      0.246935       0.00000       0.00000       0.00000    
  0.691816E-03   1.37838      0.390025      0.615882      0.366725      0.607466      0.232994E-01  0.841620E-02  0.974191      0.366725      0.364479      0.242986       0.00000       0.00000       0.00000    
  0.758561E-03   1.42558      0.385872      0.606749      0.361030      0.597682      0.248417E-01  0.906703E-02  0.958712      0.361030      0.358609      0.239073       0.00000       0.00000       0.00000    
  0.831745E-03   1.47206      0.381955      0.597841      0.355449      0.588063      0.265059E-01  0.977818E-02  0.943512      0.355449      0.352838      0.235225       0.00000       0.00000       0.00000    
  0.911989E-03   1.51794      0.378253      0.589128      0.349966      0.578580      0.282869E-01  0.105481E-01  0.928546      0.349966      0.347148      0.231432       0.00000       0.00000       0.00000    
  0.999975E-03   1.56344      0.374685      0.580536      0.344543      0.569181      0.301412E-01  0.113551E-01  0.913725      0.344543      0.341509      0.227672       0.00000       0.00000       0.00000    
  0.109645E-02   1.60807      0.371443      0.572230      0.339260      0.559972      0.321830E-01  0.122581E-01  0.899231      0.339260      0.335983      0.223989       0.00000       0.00000       0.00000    
  0.120223E-02   1.65229      0.368367      0.564063      0.334043      0.550849      0.343248E-01  0.132134E-01  0.884892      0.334043      0.330509      0.220340       0.00000       0.00000       0.00000    
  0.131822E-02   1.69601      0.365489      0.556061      0.328904      0.541830      0.365854E-01  0.142307E-01  0.870734      0.328904      0.325098      0.216732       0.00000       0.00000       0.00000    
  0.144540E-02   1.73896      0.362942      0.548326      0.323888      0.532967      0.390538E-01  0.153585E-01  0.856855      0.323888      0.319780      0.213187       0.00000       0.00000       0.00000    
  0.158485E-02   1.78153      0.360556      0.540716      0.318930      0.524174      0.416261E-01  0.165422E-01  0.843104      0.318930      0.314505      0.209670       0.00000       0.00000       0.00000    
  0.173775E-02   1.82342      0.358469      0.533339      0.314074      0.515507      0.443945E-01  0.178322E-01  0.829582      0.314074      0.309304      0.206203       0.00000       0.00000       0.00000    
  0.190540E-02   1.86469      0.356671      0.526177      0.309312      0.506947      0.473584E-01  0.192301E-01  0.816259      0.309312      0.304168      0.202779       0.00000       0.00000       0.00000    
  0.208923E-02   1.90559      0.355048      0.519145      0.304606      0.498451      0.504426E-01  0.206946E-01  0.803056      0.304606      0.299070      0.199380       0.00000       0.00000       0.00000    
  0.229079E-02   1.94558      0.353854      0.512421      0.300027      0.490093      0.538271E-01  0.223281E-01  0.790120      0.300027      0.294056      0.196037       0.00000       0.00000       0.00000    
  0.251180E-02   1.98510      0.352891      0.505859      0.295512      0.481801      0.573793E-01  0.240579E-01  0.777313      0.295512      0.289080      0.192720       0.00000       0.00000       0.00000    
  0.275413E-02   2.02409      0.352187      0.499476      0.291069      0.473581      0.611184E-01  0.258949E-01  0.764650      0.291069      0.284149      0.189432       0.00000       0.00000       0.00000    
  0.301984E-02   2.06214      0.351942      0.493402      0.286743      0.465471      0.651983E-01  0.279314E-01  0.752214      0.286743      0.279282      0.186188       0.00000       0.00000       0.00000    
  0.331118E-02   2.09974      0.351917      0.487475      0.282471      0.457407      0.694454E-01  0.300673E-01  0.739879      0.282471      0.274444      0.182963       0.00000       0.00000       0.00000    
  0.363064E-02   2.13651      0.352295      0.481811      0.278295      0.449425      0.739997E-01  0.323867E-01  0.727720      0.278295      0.269655      0.179770       0.00000       0.00000       0.00000    
