   100.000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   37.3830       2.96658       3.89727       2.95388       3.89247      0.126993E-01  0.479961E-02   6.84635       1.71816       1.71710       1.56086       1.23572      0.614502       0.00000    
  0.109648E-03   36.3800       2.89644       3.80304       2.88298       3.79792      0.134600E-01  0.511755E-02   6.68091       1.67896       1.67782       1.52408       1.20402      0.596016       0.00000    
  0.120226E-03   35.4091       2.82838       3.71160       2.81408       3.70613      0.142940E-01  0.546967E-02   6.52022       1.64085       1.63963       1.48832       1.17323      0.578187       0.00000    
  0.131825E-03   34.4512       2.76115       3.62130       2.74599       3.61546      0.151611E-01  0.583748E-02   6.36145       1.60318       1.60187       1.45297       1.14281      0.560623       0.00000    
  0.144543E-03   33.5119       2.69513       3.53262       2.67906       3.52639      0.160757E-01  0.622773E-02   6.20545       1.56614       1.56474       1.41822       1.11292      0.543439       0.00000    
  0.158489E-03   32.5978       2.63076       3.44614       2.61370       3.43949      0.170621E-01  0.665230E-02   6.05318       1.52996       1.52846       1.38426       1.08374      0.526765       0.00000    
  0.173779E-03   31.6959       2.56719       3.36073       2.54910       3.35363      0.180858E-01  0.709484E-02   5.90274       1.49419       1.49259       1.35070       1.05491      0.510341       0.00000    
  0.190545E-03   30.8176       2.50517       3.27738       2.48599       3.26981      0.191849E-01  0.757385E-02   5.75580       1.45923       1.45751       1.31790       1.02675      0.494395       0.00000    
  0.208928E-03   29.9575       2.44437       3.19564       2.42402       3.18755      0.203493E-01  0.808482E-02   5.61157       1.42490       1.42306       1.28568      0.999119      0.478817       0.00000    
  0.229085E-03   29.1091       2.38435       3.11493       2.36279       3.10631      0.215564E-01  0.861666E-02   5.46911       1.39097       1.38900       1.25383      0.971821      0.463477       0.00000    
  0.251186E-03   28.2888       2.32620       3.03669       2.30333       3.02749      0.228757E-01  0.920405E-02   5.33081       1.35800       1.35590       1.22289      0.945326      0.448701       0.00000    
  0.275420E-03   27.4803       2.26887       2.95950       2.24462       2.94968      0.242485E-01  0.981822E-02   5.19430       1.32545       1.32319       1.19233      0.919173      0.434165       0.00000    
  0.301992E-03   26.6877       2.21262       2.88373       2.18692       2.87326      0.256932E-01  0.104684E-01   5.06019       1.29344       1.29103       1.16228      0.893482      0.419949       0.00000    
  0.331127E-03   25.9177       2.15791       2.80996       2.13066       2.79879      0.272513E-01  0.111761E-01   4.92945       1.26222       1.25964       1.13296      0.868442      0.406187       0.00000    
  0.363073E-03   25.1585       2.10395       2.73716       2.07508       2.72524      0.288674E-01  0.119134E-01   4.80033       1.23137       1.22861       1.10399      0.843715      0.392640       0.00000    
  0.398101E-03   24.4196       2.05140       2.66616       2.02080       2.65346      0.305978E-01  0.127093E-01   4.67426       1.20123       1.19828       1.07568      0.819577      0.379499       0.00000    
  0.436509E-03   23.6970       2.00000       2.59664       1.96757       2.58308      0.324314E-01  0.135587E-01   4.55065       1.17165       1.16850       1.04790      0.795917      0.366685       0.00000    
  0.478622E-03   22.9848       1.94933       2.52805       1.91500       2.51361      0.343308E-01  0.144425E-01   4.42861       1.14244       1.13908       1.02045      0.772558      0.354077       0.00000    
  0.524798E-03   22.2967       1.90038       2.46163       1.86398       2.44621      0.364000E-01  0.154154E-01   4.31020       1.11408       1.11048      0.993786      0.749904      0.341949       0.00000    
  0.575429E-03   21.6194       1.85221       2.39619       1.81366       2.37976      0.385539E-01  0.164335E-01   4.19342       1.08609       1.08225      0.967472      0.727566      0.330035       0.00000    
  0.630945E-03   20.9557       1.80503       2.33198       1.76421       2.31448      0.408150E-01  0.175086E-01   4.07869       1.05859       1.05448      0.941601      0.705627      0.318391       0.00000    
  0.691816E-03   20.3120       1.75932       2.26961       1.71607       2.25093      0.432521E-01  0.186787E-01   3.96700       1.03179       1.02740      0.916383      0.684279      0.307144       0.00000    
