   100.000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   37.3878       2.96660       3.89740       2.95411       3.89279      0.124952E-01  0.461310E-02   6.84689       1.71839       1.71733       1.56102       1.23572      0.614443       0.00000    
  0.109648E-03   36.3832       2.89637       3.80306       2.88312       3.79814      0.132472E-01  0.492124E-02   6.68126       1.67915       1.67801       1.52419       1.20397      0.595945       0.00000    
  0.120226E-03   35.4109       2.82822       3.71154       2.81414       3.70628      0.140718E-01  0.526283E-02   6.52042       1.64100       1.63978       1.48839       1.17315      0.578107       0.00000    
  0.131825E-03   34.4518       2.76091       3.62115       2.74598       3.61553      0.149295E-01  0.561978E-02   6.36152       1.60329       1.60199       1.45301       1.14269      0.560535       0.00000    
  0.144543E-03   33.5113       2.69483       3.53240       2.67899       3.52640      0.158343E-01  0.599871E-02   6.20539       1.56623       1.56483       1.41823       1.11276      0.543344       0.00000    
  0.158489E-03   32.5962       2.63039       3.44585       2.61358       3.43944      0.168105E-01  0.641131E-02   6.05302       1.53002       1.52852       1.38425       1.08356      0.526665       0.00000    
  0.173779E-03   31.6934       2.56677       3.36038       2.54894       3.35354      0.178239E-01  0.684153E-02   5.90248       1.49424       1.49263       1.35067       1.05470      0.510236       0.00000    
  0.190545E-03   30.8142       2.50470       3.27698       2.48579       3.26967      0.189122E-01  0.730756E-02   5.75546       1.45926       1.45755       1.31784       1.02653      0.494286       0.00000    
  0.208928E-03   29.9534       2.44385       3.19519       2.42379       3.18739      0.200656E-01  0.780498E-02   5.61118       1.42492       1.42308       1.28561      0.998873      0.478705       0.00000    
  0.229085E-03   29.1044       2.38380       3.11445       2.36254       3.10612      0.212614E-01  0.832293E-02   5.46866       1.39098       1.38901       1.25375      0.971560      0.463364       0.00000    
  0.251186E-03   28.2835       2.32562       3.03617       2.30306       3.02728      0.225689E-01  0.889552E-02   5.33033       1.35800       1.35589       1.22280      0.945054      0.448588       0.00000    
  0.275420E-03   27.4746       2.26826       2.95896       2.24433       2.94946      0.239298E-01  0.949450E-02   5.19380       1.32544       1.32319       1.19223      0.918893      0.434051       0.00000    
  0.301992E-03   26.6816       2.21199       2.88316       2.18663       2.87303      0.253622E-01  0.101290E-01   5.05966       1.29343       1.29102       1.16218      0.893195      0.419836       0.00000    
  0.331127E-03   25.9113       2.15727       2.80938       2.13036       2.79856      0.269078E-01  0.108201E-01   4.92891       1.26221       1.25963       1.13286      0.868151      0.406074       0.00000    
  0.363073E-03   25.1519       2.10329       2.73656       2.07478       2.72502      0.285111E-01  0.115404E-01   4.79980       1.23136       1.22860       1.10389      0.843422      0.392529       0.00000    
  0.398101E-03   24.4127       2.05073       2.66555       2.02050       2.65323      0.302284E-01  0.123187E-01   4.67373       1.20122       1.19827       1.07557      0.819285      0.379391       0.00000    
  0.436509E-03   23.6901       1.99932       2.59602       1.96728       2.58287      0.320486E-01  0.131498E-01   4.55015       1.17165       1.16850       1.04779      0.795626      0.366579       0.00000    
  0.478622E-03   22.9778       1.94865       2.52742       1.91471       2.51341      0.339346E-01  0.140149E-01   4.42812       1.14244       1.13908       1.02035      0.772270      0.353975       0.00000    
