   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   86.4697       6.61730       9.40500       6.59955       9.39774      0.177536E-01  0.725350E-02   15.9973       3.52944       3.52797       3.37946       3.07010       2.49031       0.00000    
  0.109648E-03   83.2424       6.40507       9.09689       6.38630       9.08919      0.187734E-01  0.770837E-02   15.4755       3.41924       3.41768       3.27154       2.96705       2.39997       0.00000    
  0.120226E-03   80.1716       6.20194       8.80211       6.18206       8.79390      0.198859E-01  0.820888E-02   14.9760       3.31363       3.31196       3.16815       2.86842       2.31379       0.00000    
  0.131825E-03   77.1631       6.00245       8.51264       5.98141       8.50391      0.210400E-01  0.873015E-02   14.4853       3.20986       3.20807       3.06656       2.77156       2.22927       0.00000    
  0.144543E-03   74.2437       5.80817       8.23078       5.78592       8.22150      0.222539E-01  0.928115E-02   14.0074       3.10871       3.10680       2.96756       2.67721       2.14713       0.00000    
  0.158489E-03   71.4425       5.62085       7.95906       5.59729       7.94919      0.235574E-01  0.987721E-02   13.5465       3.01105       3.00902       2.87201       2.58624       2.06815       0.00000    
  0.173779E-03   68.6984       5.43690       7.69227       5.41199       7.68177      0.249074E-01  0.104967E-01   13.0938       2.91510       2.91293       2.77813       2.49689       1.99071       0.00000    
  0.190545E-03   66.0632       5.25939       7.43485       5.23304       7.42369      0.263510E-01  0.111638E-01   12.6567       2.82238       2.82007       2.68744       2.41066       1.91618       0.00000    
  0.208928E-03   63.5106       5.08681       7.18460       5.05894       7.17273      0.278749E-01  0.118720E-01   12.2317       2.73214       2.72968       2.59918       2.32680       1.84387       0.00000    
  0.229085E-03   61.0116       4.91743       6.93900       4.88798       6.92639      0.294513E-01  0.126072E-01   11.8144       2.64350       2.64088       2.51250       2.24448       1.77300       0.00000    
  0.251186E-03   58.6371       4.75553       6.70424       4.72437       6.69083      0.311649E-01  0.134133E-01   11.4152       2.55861       2.55582       2.42951       2.16576       1.70550       0.00000    
  0.275420E-03   56.3149       4.59679       6.47404       4.56384       6.45979      0.329432E-01  0.142534E-01   11.0236       2.47529       2.47232       2.34807       2.08855       1.63940       0.00000    
  0.301992E-03   54.0626       4.44228       6.24998       4.40747       6.23484      0.348088E-01  0.151391E-01   10.6423       2.39410       2.39093       2.26871       2.01337       1.57520       0.00000    
  0.331127E-03   51.9074       4.29368       6.03445       4.25687       6.01835      0.368107E-01  0.160969E-01   10.2752       2.31585       2.31248       2.19224       1.94102       1.51363       0.00000    
  0.363073E-03   49.7982       4.14790       5.82298       4.10902       5.80589      0.388819E-01  0.170916E-01   9.91491       2.23900       2.23542       2.11716       1.87002       1.45331       0.00000    
  0.398101E-03   47.7748       4.00740       5.61910       3.96631       5.60094      0.410895E-01  0.181591E-01   9.56725       2.16478       2.16097       2.04465       1.80153       1.39532       0.00000    
  0.436509E-03   45.8194       3.87111       5.42127       3.82769       5.40198      0.434189E-01  0.192924E-01   9.22967       2.09266       2.08860       1.97419       1.73504       1.33919       0.00000    
  0.478622E-03   43.9071       3.73749       5.22726       3.69166       5.20679      0.458261E-01  0.204678E-01   8.89846       2.02185       2.01754       1.90503       1.66981       1.28423       0.00000    
  0.524798E-03   42.0930       3.61002       5.04205       3.56159       5.02030      0.484320E-01  0.217516E-01   8.58189       1.95408       1.94950       1.83885       1.60750       1.23195       0.00000    
