   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   86.8373       6.64515       9.44401       6.62713       9.43657      0.180214E-01  0.744486E-02   16.0637       3.54370       3.54212       3.39335       3.08342       2.50110       0.00000    
  0.109648E-03   83.5966       6.43206       9.13462       6.41300       9.12671      0.190525E-01  0.790881E-02   15.5397       3.43304       3.43135       3.28498       2.97996       2.41038       0.00000    
  0.120226E-03   80.5131       6.22810       8.83860       6.20792       8.83018      0.201768E-01  0.841896E-02   15.0381       3.32698       3.32518       3.18115       2.88094       2.32384       0.00000    
  0.131825E-03   77.4920       6.02779       8.54791       6.00645       8.53896      0.213432E-01  0.895012E-02   14.5454       3.22277       3.22085       3.07914       2.78368       2.23898       0.00000    
  0.144543E-03   74.5604       5.83272       8.26487       5.81015       8.25536      0.225696E-01  0.951134E-02   14.0655       3.12119       3.11914       2.97972       2.68896       2.15649       0.00000    
  0.158489E-03   71.7475       5.64463       7.99201       5.62074       7.98189      0.238862E-01  0.101181E-01   13.6026       3.02312       3.02094       2.88377       2.59762       2.07719       0.00000    
  0.173779E-03   68.9919       5.45992       7.72409       5.43467       7.71334      0.252495E-01  0.107486E-01   13.1480       2.92676       2.92444       2.78949       2.50791       1.99941       0.00000    
  0.190545E-03   66.3456       5.28169       7.46559       5.25498       7.45416      0.267069E-01  0.114271E-01   12.7091       2.83365       2.83117       2.69842       2.42133       1.92457       0.00000    
  0.208928E-03   63.7823       5.10841       7.21428       5.08016       7.20214      0.282450E-01  0.121471E-01   12.2823       2.74303       2.74039       2.60979       2.33713       1.85196       0.00000    
  0.229085E-03   61.2728       4.93833       6.96764       4.90850       6.95474      0.298359E-01  0.128944E-01   11.8632       2.65402       2.65120       2.52274       2.25448       1.78080       0.00000    
  0.251186E-03   58.8884       4.77577       6.73188       4.74421       6.71817      0.315646E-01  0.137132E-01   11.4624       2.56877       2.56577       2.43939       2.17544       1.71301       0.00000    
  0.275420E-03   56.5563       4.61637       6.50071       4.58301       6.48614      0.333583E-01  0.145662E-01   11.0692       2.48510       2.48191       2.35760       2.09792       1.64664       0.00000    
  0.301992E-03   54.2946       4.46123       6.27569       4.42599       6.26022      0.352395E-01  0.154652E-01   10.6862       2.40356       2.40016       2.27790       2.02243       1.58217       0.00000    
  0.331127E-03   52.1303       4.31203       6.05924       4.27477       6.04280      0.372576E-01  0.164367E-01   10.3176       2.32498       2.32136       2.20111       1.94979       1.52033       0.00000    
  0.363073E-03   50.0121       4.16565       5.84686       4.12630       5.82942      0.393453E-01  0.174454E-01   9.95572       2.24781       2.24396       2.12570       1.87849       1.45976       0.00000    
  0.398101E-03   47.9801       4.02457       5.64211       3.98300       5.62358      0.415697E-01  0.185273E-01   9.60658       2.17328       2.16919       2.05287       1.80972       1.40152       0.00000    
  0.436509E-03   46.0165       3.88772       5.44343       3.84380       5.42375      0.439164E-01  0.196753E-01   9.26756       2.10085       2.09649       1.98211       1.74295       1.34515       0.00000    
  0.478622E-03   44.0960       3.75355       5.24858       3.70721       5.22772      0.463410E-01  0.208656E-01   8.93493       2.02975       2.02512       1.91265       1.67746       1.28995       0.00000    
  0.524798E-03   42.2742       3.62555       5.06257       3.57659       5.04041      0.489648E-01  0.221648E-01   8.61699       1.96170       1.95677       1.84618       1.61489       1.23746       0.00000    
  0.575429E-03   40.4959       3.50029       4.88047       3.44860       4.85695      0.516871E-01  0.235184E-01   8.30555       1.89500       1.88976       1.78103       1.55361       1.18615       0.00000    
  0.630945E-03   38.7723       3.37849       4.70329       3.32396       4.67835      0.545338E-01  0.249407E-01   8.00230       1.83000       1.82444       1.71755       1.49395       1.13635       0.00000    
  0.691816E-03   37.1281       3.26174       4.53328       3.20416       4.50681      0.575829E-01  0.264761E-01   7.71097       1.76749       1.76158       1.65650       1.43667       1.08872       0.00000    
  0.758561E-03   35.5207       3.14735       4.36662       3.08662       4.33855      0.607330E-01  0.280683E-01   7.42517       1.70613       1.69986       1.59658       1.38049       1.04211       0.00000    
  0.831745E-03   33.9806       3.03730       4.20609       2.97323       4.17632      0.640763E-01  0.297695E-01   7.14954       1.64690       1.64024       1.53873       1.32633      0.997357       0.00000    
  0.911989E-03   32.4963       2.93088       4.05066       2.86328       4.01909      0.675990E-01  0.315731E-01   6.88237       1.58942       1.58235       1.48259       1.27385      0.954144       0.00000    
  0.999975E-03   31.0462       2.82668       3.89838       2.75545       3.86494      0.712338E-01  0.334408E-01   6.62039       1.53304       1.52554       1.42752       1.22241      0.911878       0.00000    
  0.109645E-02   29.6734       2.72757       3.75322       2.65242       3.71775      0.751471E-01  0.354693E-01   6.37018       1.47911       1.47115       1.37485       1.17331      0.871753       0.00000    
  0.120223E-02   28.3362       2.63083       3.61137       2.55163       3.57379      0.792041E-01  0.375816E-01   6.12541       1.42632       1.41789       1.32328       1.12530      0.832619       0.00000    
  0.131822E-02   27.0412       2.53691       3.47344       2.45348       3.43365      0.834317E-01  0.397936E-01   5.88712       1.37489       1.36596       1.27303       1.07858      0.794659       0.00000    
  0.144540E-02   25.8102       2.44729       3.34149       2.35934       3.29931      0.879472E-01  0.421755E-01   5.65866       1.32552       1.31605       1.22478       1.03382      0.758482       0.00000    
  0.158485E-02   24.6082       2.35964       3.21226       2.26704       3.16762      0.926030E-01  0.446411E-01   5.43466       1.27708       1.26706       1.17745      0.989956      0.723115       0.00000    
  0.173775E-02   23.4583       2.27556       3.08795       2.17804       3.04068      0.975206E-01  0.472631E-01   5.21872       1.23034       1.21973       1.13175      0.947697      0.689206       0.00000    
  0.190540E-02   22.3534       2.19458       2.96790       2.09189       2.91786      0.102689      0.500368E-01   5.00976       1.18506       1.17383       1.08748      0.906832      0.656559       0.00000    
  0.208923E-02   21.2754       2.11548       2.85041       2.00747       2.79751      0.108011      0.529035E-01   4.80498       1.14066       1.12879       1.04405      0.866805      0.624667       0.00000    
  0.229079E-02   20.2572       2.04056       2.73864       1.92686       2.68264      0.113702      0.559966E-01   4.60951       1.09822       1.08566       1.00252      0.828640      0.594457       0.00000    
  0.251180E-02   19.2678       1.96771       2.62965       1.84812       2.57044      0.119591      0.592122E-01   4.41856       1.05673       1.04346      0.961915      0.791383      0.565062       0.00000    
  0.275413E-02   18.3106       1.89715       2.52378       1.77145       2.46121      0.125700      0.625645E-01   4.23266       1.01631       1.00230      0.922334      0.755136      0.536577       0.00000    
  0.301984E-02   17.4043       1.83026       2.42285       1.69807       2.35669      0.132192      0.661578E-01   4.05476      0.977572      0.962778      0.884380      0.720498      0.509535       0.00000    
  0.331118E-02   16.5206       1.76503       2.32414       1.62616       2.25427      0.138866      0.698664E-01   3.88044      0.939587      0.923986      0.847154      0.686577      0.483135       0.00000    
  0.363064E-02   15.6767       1.70272       2.22934       1.55685       2.15556      0.145869      0.737846E-01   3.71241      0.902931      0.886483      0.811207      0.653923      0.457869       0.00000    
  0.398091E-02   14.8686       1.64308       2.13809       1.48989       2.06018      0.153195      0.779111E-01   3.55007      0.867474      0.850141      0.776417      0.622415      0.433625       0.00000    
  0.436498E-02   14.0814       1.58501       2.04892       1.42430       1.96676      0.160713      0.821620E-01   3.39106      0.832720      0.814479      0.742303      0.591579      0.409979       0.00000    
  0.478610E-02   13.3398       1.53039       1.96432       1.36172       1.87761      0.168676      0.867050E-01   3.23933      0.799502      0.780301      0.709669      0.562214      0.387643       0.00000    
  0.524785E-02   12.6211       1.47755       1.88205       1.30067       1.79064      0.176883      0.914096E-01   3.09131      0.767065      0.746879      0.677789      0.533602      0.365973       0.00000    
  0.575415E-02   11.9267       1.42657       1.80223       1.24122       1.70595      0.185345      0.962837E-01   2.94717      0.735447      0.714248      0.646698      0.505777      0.345001       0.00000    
  0.630929E-02   11.2721       1.37871       1.72650       1.18446       1.62504      0.194258      0.101461       2.80949      0.705188      0.682930      0.616920      0.479267      0.325189       0.00000    
  0.691799E-02   10.6349       1.33223       1.65256       1.12886       1.54579      0.203374      0.106778       2.67464      0.675522      0.652185      0.587716      0.453334      0.305885       0.00000    
  0.758542E-02   10.0277       1.28813       1.58173       1.07528       1.46939      0.212848      0.112339       2.54467      0.646880      0.622431      0.559505      0.428398      0.287458       0.00000    
  0.831724E-02   9.44839       1.24628       1.51384       1.02361       1.39570      0.222672      0.118142       2.41931      0.619200      0.593610      0.532231      0.404408      0.269858       0.00000    
  0.911966E-02   8.88332       1.20561       1.44746      0.972914       1.32338      0.232691      0.124081       2.29629      0.592012      0.565264      0.505434      0.380902      0.252679       0.00000    
  0.999950E-02   8.33664       1.16663       1.38318      0.923532       1.25289      0.243099      0.130294       2.17642      0.565488      0.537550      0.479275      0.358044      0.236060       0.00000    
  0.109642E-01   7.81304       1.12943       1.32127      0.875710       1.18462      0.253718      0.136656       2.06033      0.539740      0.510605      0.453889      0.335970      0.220123       0.00000    
  0.120220E-01   7.32449       1.09499       1.26304      0.830287       1.11976      0.264706      0.143280       1.95005      0.515186      0.484838      0.429690      0.315102      0.205234       0.00000    
  0.131819E-01   6.85825       1.06241       1.20725      0.786433       1.05714      0.275980      0.150110       1.84357      0.491405      0.459840      0.406269      0.295028      0.191026       0.00000    
  0.144536E-01   6.41328       1.03161       1.15378      0.744086      0.996653      0.287520      0.157131       1.74074      0.468362      0.435583      0.383598      0.275723      0.177472       0.00000    
  0.158481E-01   5.98736       1.00239       1.10243      0.703100      0.938116      0.299287      0.164315       1.64122      0.445981      0.411998      0.361608      0.257119      0.164510       0.00000    
  0.173770E-01   5.57988      0.974703       1.05313      0.663444      0.881486      0.311259      0.171645       1.54493      0.424241      0.389072      0.340287      0.239203      0.152127       0.00000    
  0.190535E-01   5.19194      0.948636       1.00601      0.625209      0.826903      0.323426      0.179112       1.45211      0.403179      0.366854      0.319687      0.222031      0.140361       0.00000    
  0.208917E-01   4.82242      0.924078      0.960967      0.588328      0.774284      0.335750      0.186684       1.36261      0.382754      0.345318      0.299780      0.205574      0.129186       0.00000    
  0.229073E-01   4.46954      0.900866      0.917790      0.552682      0.723468      0.348185      0.194322       1.27615      0.362905      0.324409      0.280511      0.189777      0.118548       0.00000    
  0.251174E-01   4.13279      0.878938      0.876428      0.518245      0.674433      0.360693      0.201994       1.19268      0.343611      0.304121      0.261875      0.174634      0.108437       0.00000    
  0.275406E-01   3.81327      0.858347      0.836996      0.485114      0.627339      0.373233      0.209657       1.11245      0.324909      0.284512      0.243931      0.160205      0.988955E-01   0.00000    
  0.301976E-01   3.50987      0.838966      0.799356      0.453218      0.582100      0.385748      0.217256       1.03532      0.306756      0.265556      0.226652      0.146462      0.898917E-01   0.00000    
  0.331110E-01   3.22117      0.820647      0.763332      0.422462      0.538591      0.398185      0.224742      0.961052      0.289102      0.247212      0.209995      0.133360      0.813833E-01   0.00000    
  0.363055E-01   2.94680      0.803315      0.728859      0.392826      0.496804      0.410489      0.232055      0.889630      0.271930      0.229482      0.193961      0.120896      0.733616E-01   0.00000    
  0.398081E-01   2.68790      0.786983      0.696020      0.364414      0.456921      0.422569      0.239099      0.821335      0.255275      0.212433      0.178619      0.109139      0.658692E-01   0.00000    
  0.436487E-01   2.44340      0.771509      0.664651      0.337151      0.418853      0.434357      0.245798      0.756005      0.239097      0.196041      0.163940      0.980548E-01  0.588722E-01   0.00000    
