   6464.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   83.8327       6.41164       9.09417       6.39411       9.08718      0.175366E-01  0.699951E-02   15.4813       3.42745       3.42590       3.27694       2.96665       2.38434       0.00000    
  0.109648E-03   80.7406       6.20840       8.79957       6.18985       8.79213      0.185452E-01  0.744114E-02   14.9820       3.32174       3.32009       3.17351       2.86811       2.29853       0.00000    
  0.120226E-03   77.7962       6.01375       8.51753       5.99410       8.50960      0.196455E-01  0.792742E-02   14.5037       3.22037       3.21860       3.07436       2.77373       2.21664       0.00000    
  0.131825E-03   74.9108       5.82254       8.24050       5.80175       8.23207      0.207872E-01  0.843402E-02   14.0338       3.12073       3.11885       2.97691       2.68102       2.13631       0.00000    
  0.144543E-03   72.1096       5.63626       7.97066       5.61427       7.96169      0.219881E-01  0.896972E-02   13.5760       3.02358       3.02157       2.88191       2.59069       2.05821       0.00000    
  0.158489E-03   69.4201       5.45655       7.71040       5.43327       7.70085      0.232779E-01  0.954959E-02   13.1341       2.92973       2.92759       2.79017       2.50354       1.98309       0.00000    
  0.173779E-03   66.7848       5.28004       7.45478       5.25542       7.44463      0.246137E-01  0.101525E-01   12.7001       2.83750       2.83521       2.70001       2.41793       1.90941       0.00000    
  0.190545E-03   64.2525       5.10963       7.20804       5.08359       7.19723      0.260423E-01  0.108019E-01   12.2808       2.74833       2.74589       2.61286       2.33526       1.83848       0.00000    
  0.208928E-03   61.7985       4.94389       6.96806       4.91634       6.95657      0.275507E-01  0.114918E-01   11.8729       2.66150       2.65891       2.52802       2.25484       1.76964       0.00000    
  0.229085E-03   59.3953       4.78118       6.73248       4.75207       6.72027      0.291111E-01  0.122082E-01   11.4723       2.57620       2.57343       2.44468       2.17587       1.70216       0.00000    
  0.251186E-03   57.1102       4.62556       6.50717       4.59475       6.49417      0.308075E-01  0.129943E-01   11.0889       2.49445       2.49150       2.36483       2.10030       1.63785       0.00000    
  0.275420E-03   54.8746       4.47293       6.28617       4.44037       6.27235      0.325683E-01  0.138137E-01   10.7127       2.41420       2.41105       2.28644       2.02617       1.57486       0.00000    
  0.301992E-03   52.7055       4.32433       6.07098       4.28991       6.05630      0.344155E-01  0.146780E-01   10.3462       2.33595       2.33261       2.21003       1.95396       1.51366       0.00000    
  0.331127E-03   50.6285       4.18134       5.86387       4.14494       5.84826      0.363982E-01  0.156133E-01   9.99320       2.26051       2.25695       2.13637       1.88443       1.45494       0.00000    
  0.363073E-03   48.5951       4.04103       5.66061       4.00258       5.64403      0.384497E-01  0.165850E-01   9.64661       2.18640       2.18261       2.06402       1.81618       1.39740       0.00000    
  0.398101E-03   46.6434       3.90573       5.46455       3.86509       5.44693      0.406365E-01  0.176283E-01   9.31202       2.11479       2.11075       1.99411       1.75031       1.34207       0.00000    
  0.436509E-03   44.7563       3.77444       5.27423       3.73150       5.25550      0.429445E-01  0.187366E-01   8.98699       2.04516       2.04087       1.92615       1.68634       1.28848       0.00000    
  0.478622E-03   42.9102       3.64569       5.08754       3.60036       5.06766      0.453297E-01  0.198864E-01   8.66801       1.97679       1.97223       1.85942       1.62357       1.23601       0.00000    
  0.524798E-03   41.1576       3.52279       4.90920       3.47487       4.88806      0.479123E-01  0.211433E-01   8.36293       1.91132       1.90646       1.79552       1.56356       1.18607       0.00000    
  0.575429E-03   39.4462       3.40249       4.73455       3.35189       4.71210      0.505927E-01  0.224538E-01   8.06399       1.84712       1.84196       1.73288       1.50477       1.13726       0.00000    
  0.630945E-03   37.7868       3.28547       4.56457       3.23207       4.54074      0.533966E-01  0.238320E-01   7.77281       1.78455       1.77906       1.67182       1.44753       1.08986       0.00000    
  0.691816E-03   36.2027       3.17325       4.40138       3.11685       4.37606      0.564015E-01  0.253218E-01   7.49291       1.72432       1.71849       1.61305       1.39252       1.04451       0.00000    
