 First iteration    1392.4273266761081             1130   1.2322365722797417     
After minimisation    1360.92  1130     1.204

  Partial chi2s 
Dataset    1    452.51   377  HERA1+2 NCep 920                                
Dataset    2     67.33    70  HERA1+2 NCep 820                                
Dataset    3    229.52   254  HERA1+2 NCep 575                                
Dataset    4    221.46   204  HERA1+2 NCep 460                                
Dataset    5    211.98   159  HERA1+2 NCem                                    
Dataset    6     46.22    39  HERA1+2 CCep                                    
Dataset    7     47.75    42  HERA1+2 CCem                                    

 Correlated Chi2    84.150284530772822     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2677   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5127   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.2961   +/-   0.5563        :N:M:D
    4  sysHZComb1004                          0.2958   +/-   0.6184        :N:M:D
    5  sysHZComb1005                          0.7829   +/-   0.6090        :N:M:D
    6  sysHZComb1006                         -0.8038   +/-   0.7877        :N:M:D
    7  sysHZComb1007                          0.1641   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0813   +/-   0.9983        :N:M:D
    9  sysHZComb1009                         -0.0713   +/-   0.9018        :N:M:D
   10  sysHZComb1010                         -0.3211   +/-   0.9934        :N:M:D
   11  sysHZComb1011                         -0.7144   +/-   0.9654        :N:M:D
   12  sysHZComb1012                          0.4272   +/-   0.9715        :N:M:D
   13  sysHZComb1013                         -0.5116   +/-   0.9609        :N:M:D
   14  sysHZComb1014                         -0.1186   +/-   0.9869        :N:M:D
   15  sysHZComb1015                         -0.0891   +/-   0.9616        :N:M:D
   16  sysHZComb1016                         -0.2036   +/-   0.9749        :N:M:D
   17  sysHZComb1017                         -0.3895   +/-   0.9703        :N:M:D
   18  sysHZComb1018                          0.2180   +/-   0.8241        :N:M:D
   19  sysHZComb1019                         -0.4688   +/-   0.9835        :N:M:D
   20  sysHZComb1020                         -0.4118   +/-   0.9812        :N:M:D
   21  sysHZComb1021                          0.0478   +/-   0.9733        :N:M:D
   22  sysHZComb1022                          0.2484   +/-   0.9682        :N:M:D
   23  sysHZComb1023                          0.0606   +/-   0.9450        :N:M:D
   24  sysHZComb1024                         -0.0778   +/-   0.9878        :N:M:D
   25  sysHZComb1025                          0.1081   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.9697   +/-   0.9177        :N:M:D
   27  sysHZComb1027                         -0.9626   +/-   0.9534        :N:M:D
   28  sysHZComb1028                          0.6067   +/-   0.9745        :N:M:D
   29  sysHZComb1029                         -0.0551   +/-   0.9177        :N:M:D
   30  sysHZComb1030                          0.0097   +/-   0.9434        :N:M:D
   31  sysHZComb1031                         -0.6008   +/-   0.8370        :N:M:D
   32  sysHZComb1032                          0.2657   +/-   0.9639        :N:M:D
   33  sysHZComb1033                          0.5246   +/-   0.9705        :N:M:D
   34  sysHZComb1034                         -0.3015   +/-   0.9840        :N:M:D
   35  sysHZComb1035                          0.1161   +/-   0.9781        :N:M:D
   36  sysHZComb1036                         -0.2366   +/-   0.9739        :N:M:D
   37  sysHZComb1037                          0.1619   +/-   0.9700        :N:M:D
   38  sysHZComb1038                         -0.5077   +/-   0.9121        :N:M:D
   39  sysHZComb1039                         -0.4156   +/-   0.9529        :N:M:D
   40  sysHZComb1040                         -0.2978   +/-   0.9306        :N:M:D
   41  sysHZComb1041                         -0.4353   +/-   0.8139        :N:M:D
   42  sysHZComb1042                         -0.2367   +/-   0.8743        :N:M:D
   43  sysHZComb1043                          0.0444   +/-   0.9092        :N:M:D
   44  sysHZComb1044                         -0.0149   +/-   0.9369        :N:M:D
   45  sysHZComb1045                         -0.3949   +/-   0.9308        :N:M:D
   46  sysHZComb1046                         -0.3122   +/-   0.9563        :N:M:D
   47  sysHZComb1047                          0.2709   +/-   0.9454        :N:M:D
   48  sysHZComb1048                         -0.1739   +/-   0.9606        :N:M:D
   49  sysHZComb1049                         -0.4150   +/-   0.9441        :N:M:D
   50  sysHZComb1050                         -0.0010   +/-   0.9422        :N:M:D
   51  sysHZComb1051                          0.3086   +/-   0.9519        :N:M:D
   52  sysHZComb1052                          0.7743   +/-   0.9505        :N:M:D
   53  sysHZComb1053                         -2.5784   +/-   0.9181        :N:M:D
   54  sysHZComb1054                         -0.1373   +/-   0.9748        :N:M:D
   55  sysHZComb1055                         -1.7018   +/-   0.9043        :N:M:D
   56  sysHZComb1056                         -1.1178   +/-   0.8901        :N:M:D
   57  sysHZComb1057                         -0.1256   +/-   0.9192        :N:M:D
   58  sysHZComb1058                          0.1645   +/-   0.9436        :N:M:D
   59  sysHZComb1059                         -0.9568   +/-   0.8699        :N:M:D
   60  sysHZComb1060                          0.1982   +/-   0.9783        :N:M:D
   61  sysHZComb1061                          0.1681   +/-   0.9831        :N:M:D
   62  sysHZComb1062                         -1.2708   +/-   0.8953        :N:M:D
   63  sysHZComb1063                          0.3992   +/-   0.8352        :N:M:D
   64  sysHZComb1064                          0.5775   +/-   0.9291        :N:M:D
   65  sysHZComb1065                         -0.8186   +/-   0.9467        :N:M:D
   66  sysHZComb1066                         -0.6622   +/-   0.9320        :N:M:D
   67  sysHZComb1067                         -0.0711   +/-   0.9635        :N:M:D
   68  sysHZComb1068                         -0.3927   +/-   0.9183        :N:M:D
   69  sysHZComb1069                         -0.0812   +/-   0.9123        :N:M:D
   70  sysHZComb1070                          0.3123   +/-   0.9071        :N:M:D
   71  sysHZComb1071                         -1.3748   +/-   0.8563        :N:M:D
   72  sysHZComb1072                         -0.0661   +/-   0.9690        :N:M:D
