 First iteration    1370.6027174515568             1130   1.2129227588066875     
After minimisation    1363.79  1130     1.207

  Partial chi2s 
Dataset    1    455.54   377  HERA1+2 NCep 920                                
Dataset    2     68.14    70  HERA1+2 NCep 820                                
Dataset    3    229.66   254  HERA1+2 NCep 575                                
Dataset    4    221.84   204  HERA1+2 NCep 460                                
Dataset    5    211.13   159  HERA1+2 NCem                                    
Dataset    6     44.59    39  HERA1+2 CCep                                    
Dataset    7     47.17    42  HERA1+2 CCem                                    

 Correlated Chi2    85.719131282075168     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3657   +/-   0.9326        :N:M:D
    2  sysHZComb1002                         -0.5205   +/-   0.9363        :N:M:D
    3  sysHZComb1003                          1.2879   +/-   0.5559        :N:M:D
    4  sysHZComb1004                          0.1920   +/-   0.6181        :N:M:D
    5  sysHZComb1005                          1.1971   +/-   0.6089        :N:M:D
    6  sysHZComb1006                         -1.1295   +/-   0.7876        :N:M:D
    7  sysHZComb1007                          0.1626   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0742   +/-   0.9983        :N:M:D
    9  sysHZComb1009                         -0.0690   +/-   0.9012        :N:M:D
   10  sysHZComb1010                         -0.3156   +/-   0.9933        :N:M:D
   11  sysHZComb1011                         -0.7670   +/-   0.9654        :N:M:D
   12  sysHZComb1012                          0.3672   +/-   0.9714        :N:M:D
   13  sysHZComb1013                         -0.4998   +/-   0.9608        :N:M:D
   14  sysHZComb1014                         -0.1246   +/-   0.9868        :N:M:D
   15  sysHZComb1015                         -0.0891   +/-   0.9615        :N:M:D
   16  sysHZComb1016                         -0.2048   +/-   0.9747        :N:M:D
   17  sysHZComb1017                         -0.3395   +/-   0.9702        :N:M:D
   18  sysHZComb1018                          0.2390   +/-   0.8232        :N:M:D
   19  sysHZComb1019                         -0.3908   +/-   0.9834        :N:M:D
   20  sysHZComb1020                         -0.4686   +/-   0.9811        :N:M:D
   21  sysHZComb1021                          0.0731   +/-   0.9732        :N:M:D
   22  sysHZComb1022                          0.2844   +/-   0.9681        :N:M:D
   23  sysHZComb1023                          0.1108   +/-   0.9448        :N:M:D
   24  sysHZComb1024                         -0.0343   +/-   0.9878        :N:M:D
   25  sysHZComb1025                          0.1133   +/-   0.9932        :N:M:D
   26  sysHZComb1026                         -0.9509   +/-   0.9174        :N:M:D
   27  sysHZComb1027                         -0.9849   +/-   0.9532        :N:M:D
   28  sysHZComb1028                          0.6095   +/-   0.9744        :N:M:D
