   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   86.6835       6.63293       9.42694       6.61532       9.42004      0.176090E-01  0.690571E-02   16.0354       3.53778       3.53616       3.38740       3.07754       2.49647       0.00000    
  0.109648E-03   83.4488       6.42025       9.11815       6.40162       9.11081      0.186233E-01  0.734348E-02   15.5124       3.42736       3.42563       3.27925       2.97427       2.40593       0.00000    
  0.120226E-03   80.3709       6.21668       8.82270       6.19695       8.81487      0.197299E-01  0.782573E-02   15.0118       3.32153       3.31968       3.17564       2.87542       2.31955       0.00000    
  0.131825E-03   77.3554       6.01675       8.53257       5.99588       8.52424      0.208782E-01  0.832826E-02   14.5201       3.21753       3.21557       3.07383       2.77834       2.23484       0.00000    
  0.144543E-03   74.4293       5.82205       8.25006       5.79997       8.24120      0.220861E-01  0.885980E-02   14.0412       3.11617       3.11407       2.97461       2.68379       2.15252       0.00000    
  0.158489E-03   71.6215       5.63431       7.97771       5.61093       7.96828      0.233834E-01  0.943541E-02   13.5792       3.01831       3.01607       2.87885       2.59262       2.07336       0.00000    
  0.173779E-03   68.8710       5.44996       7.71029       5.42523       7.70026      0.247272E-01  0.100340E-01   13.1255       2.92216       2.91977       2.78476       2.50307       1.99573       0.00000    
  0.190545E-03   66.2295       5.27206       7.45227       5.24589       7.44160      0.261643E-01  0.106790E-01   12.6875       2.82925       2.82670       2.69386       2.41665       1.92103       0.00000    
  0.208928E-03   63.6709       5.09910       7.20143       5.07142       7.19006      0.276817E-01  0.113645E-01   12.2615       2.73881       2.73610       2.60541       2.33260       1.84856       0.00000    
  0.229085E-03   61.1660       4.92934       6.95523       4.90009       6.94316      0.292515E-01  0.120764E-01   11.8432       2.64998       2.64710       2.51853       2.25010       1.77753       0.00000    
  0.251186E-03   58.7860       4.76708       6.71991       4.73612       6.70705      0.309583E-01  0.128580E-01   11.4432       2.56491       2.56183       2.43535       2.17121       1.70987       0.00000    
  0.275420E-03   56.4581       4.60797       6.48915       4.57524       6.47547      0.327299E-01  0.136729E-01   11.0507       2.48142       2.47814       2.35371       2.09382       1.64362       0.00000    
  0.301992E-03   54.2005       4.45312       6.26453       4.41853       6.25000      0.345885E-01  0.145327E-01   10.6685       2.40005       2.39656       2.27417       2.01848       1.57927       0.00000    
  0.331127E-03   52.0402       4.30418       6.04846       4.26760       6.03300      0.365835E-01  0.154635E-01   10.3006       2.32163       2.31792       2.19753       1.94597       1.51755       0.00000    
  0.363073E-03   49.9259       4.15807       5.83646       4.11943       5.82003      0.386478E-01  0.164307E-01   9.93945       2.24462       2.24067       2.12226       1.87480       1.45709       0.00000    
  0.398101E-03   47.8976       4.01725       5.63206       3.97640       5.61459      0.408483E-01  0.174696E-01   9.59099       2.17024       2.16604       2.04958       1.80616       1.39897       0.00000    
  0.436509E-03   45.9376       3.88065       5.43372       3.83748       5.41514      0.431707E-01  0.185736E-01   9.25263       2.09796       2.09349       1.97895       1.73952       1.34271       0.00000    
  0.478622E-03   44.0206       3.74673       5.23921       3.70116       5.21949      0.455710E-01  0.197192E-01   8.92065       2.02700       2.02225       1.90963       1.67415       1.28762       0.00000    
  0.524798E-03   42.2022       3.61896       5.05351       3.57079       5.03254      0.481700E-01  0.209721E-01   8.60333       1.95909       1.95403       1.84328       1.61170       1.23522       0.00000    
  0.575429E-03   40.4271       3.49393       4.87170       3.44307       4.84943      0.508674E-01  0.222787E-01   8.29249       1.89253       1.88715       1.77826       1.55054       1.18402       0.00000    
  0.630945E-03   38.7068       3.37236       4.69482       3.31867       4.67116      0.536891E-01  0.236532E-01   7.98983       1.82767       1.82195       1.71490       1.49100       1.13431       0.00000    
  0.691816E-03   37.0656       3.25582       4.52509       3.19911       4.49995      0.567131E-01  0.251398E-01   7.69906       1.76528       1.75921       1.65396       1.43383       1.08678       0.00000    
  0.758561E-03   35.4611       3.14164       4.35869       3.08180       4.33201      0.598381E-01  0.266826E-01   7.41381       1.70404       1.69760       1.59415       1.37776       1.04026       0.00000    
  0.831745E-03   33.9239       3.03179       4.19842       2.96863       4.17009      0.631565E-01  0.283339E-01   7.13872       1.64493       1.63808       1.53641       1.32371      0.995596       0.00000    
  0.911989E-03   32.4423       2.92556       4.04324       2.85891       4.01315      0.666545E-01  0.300871E-01   6.87206       1.58757       1.58030       1.48038       1.27134      0.952470       0.00000    
  0.999975E-03   30.9950       2.82156       3.89119       2.75130       3.85929      0.702646E-01  0.319041E-01   6.61058       1.53129       1.52359       1.42541       1.22000      0.910290       0.00000    
  0.109645E-02   29.6247       2.72263       3.74625       2.64848       3.71237      0.741539E-01  0.338817E-01   6.36085       1.47747       1.46929       1.37283       1.17101      0.870247       0.00000    
  0.120223E-02   28.2900       2.62608       3.60461       2.54789       3.56867      0.781874E-01  0.359433E-01   6.11656       1.42479       1.41612       1.32136       1.12310      0.831193       0.00000    
  0.131822E-02   26.9975       2.53233       3.46689       2.44994       3.42879      0.823919E-01  0.381047E-01   5.87872       1.37346       1.36427       1.27120       1.07648      0.793312       0.00000    
  0.144540E-02   25.7688       2.44288       3.33513       2.35599       3.29469      0.868855E-01  0.404369E-01   5.65069       1.32418       1.31444       1.22304       1.03181      0.757211       0.00000    
  0.158485E-02   24.5691       2.35540       3.20609       2.26388       3.16324      0.915201E-01  0.428532E-01   5.42712       1.27584       1.26553       1.17579      0.988044      0.721918       0.00000    
  0.173775E-02   23.4214       2.27148       3.08195       2.17506       3.03652      0.964176E-01  0.454271E-01   5.21158       1.22918       1.21827       1.13017      0.945879      0.688082       0.00000    
  0.190540E-02   22.3186       2.19066       2.96207       2.08910       2.91391      0.101568      0.481545E-01   5.00301       1.18399       1.17244       1.08597      0.905107      0.655504       0.00000    
  0.208923E-02   21.2427       2.11172       2.84474       2.00484       2.79376      0.106871      0.509758E-01   4.79861       1.13967       1.12746       1.04262      0.865171      0.623681       0.00000    
  0.229079E-02   20.2264       2.03695       2.73312       1.92441       2.67909      0.112548      0.540267E-01   4.60350       1.09731       1.08439       1.00116      0.827096      0.593537       0.00000    
