   100.000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   37.3927       2.96713       3.89790       2.95441       3.89308      0.127236E-01  0.481522E-02   6.84749       1.71845       1.71739       1.56114       1.23596      0.614555       0.00000    
  0.109648E-03   36.3884       2.89691       3.80357       2.88343       3.79843      0.134854E-01  0.513397E-02   6.68186       1.67921       1.67807       1.52431       1.20422      0.596057       0.00000    
  0.120226E-03   35.4164       2.82877       3.71205       2.81445       3.70656      0.143204E-01  0.548696E-02   6.52101       1.64105       1.63983       1.48851       1.17340      0.578219       0.00000    
  0.131825E-03   34.4574       2.76148       3.62167       2.74629       3.61581      0.151886E-01  0.585565E-02   6.36210       1.60334       1.60204       1.45313       1.14295      0.560646       0.00000    
  0.144543E-03   33.5172       2.69540       3.53291       2.67930       3.52667      0.161044E-01  0.624682E-02   6.20596       1.56627       1.56487       1.41834       1.11302      0.543454       0.00000    
  0.158489E-03   32.6021       2.63097       3.44637       2.61388       3.43969      0.170919E-01  0.667238E-02   6.05357       1.53006       1.52856       1.38436       1.08382      0.526773       0.00000    
  0.173779E-03   31.6995       2.56736       3.36090       2.54924       3.35378      0.181169E-01  0.711592E-02   5.90302       1.49427       1.49266       1.35077       1.05497      0.510343       0.00000    
  0.190545E-03   30.8204       2.50530       3.27750       2.48608       3.26990      0.192172E-01  0.759598E-02   5.75598       1.45929       1.45757       1.31795       1.02679      0.494391       0.00000    
  0.208928E-03   29.9596       2.44445       3.19571       2.42407       3.18760      0.203830E-01  0.810804E-02   5.61167       1.42493       1.42309       1.28570      0.999138      0.478809       0.00000    
  0.229085E-03   29.1107       2.38440       3.11496       2.36281       3.10632      0.215914E-01  0.864101E-02   5.46913       1.39098       1.38901       1.25384      0.971824      0.463465       0.00000    
  0.251186E-03   28.2898       2.32623       3.03668       2.30332       3.02745      0.229120E-01  0.922959E-02   5.33077       1.35800       1.35589       1.22288      0.945316      0.448686       0.00000    
  0.275420E-03   27.4808       2.26887       2.95947       2.24458       2.94962      0.242862E-01  0.984499E-02   5.19420       1.32543       1.32317       1.19231      0.919152      0.434147       0.00000    
  0.301992E-03   26.6879       2.21259       2.88367       2.18686       2.87317      0.257323E-01  0.104964E-01   5.06003       1.29341       1.29099       1.16225      0.893451      0.419929       0.00000    
  0.331127E-03   25.9175       2.15787       2.80988       2.13058       2.79867      0.272919E-01  0.112054E-01   4.92925       1.26218       1.25959       1.13292      0.868403      0.406165       0.00000    
  0.363073E-03   25.1580       2.10390       2.73705       2.07499       2.72511      0.289094E-01  0.119441E-01   4.80010       1.23132       1.22855       1.10394      0.843670      0.392617       0.00000    
  0.398101E-03   24.4188       2.05133       2.66605       2.02069       2.65330      0.306413E-01  0.127414E-01   4.67400       1.20117       1.19821       1.07562      0.819527      0.379475       0.00000    
  0.436509E-03   23.6961       1.99993       2.59651       1.96745       2.58292      0.324764E-01  0.135923E-01   4.55037       1.17159       1.16843       1.04783      0.795862      0.366660       0.00000    
  0.478622E-03   22.9837       1.94925       2.52791       1.91487       2.51343      0.343774E-01  0.144776E-01   4.42831       1.14237       1.13900       1.02038      0.772500      0.354053       0.00000    
  0.524798E-03   22.2954       1.90030       2.46149       1.86385       2.44603      0.364481E-01  0.154521E-01   4.30988       1.11400       1.11040      0.993711      0.749845      0.341925       0.00000    
  0.575429E-03   21.6180       1.85213       2.39604       1.81352       2.37957      0.386036E-01  0.164717E-01   4.19309       1.08602       1.08216      0.967395      0.727506      0.330011       0.00000    
  0.630945E-03   20.9542       1.80494       2.33183       1.76407       2.31428      0.408662E-01  0.175485E-01   4.07836       1.05851       1.05439      0.941522      0.705567      0.318367       0.00000    
  0.691816E-03   20.3105       1.75923       2.26946       1.71593       2.25074      0.433050E-01  0.187202E-01   3.96667       1.03171       1.02731      0.916304      0.684220      0.307121       0.00000    
  0.758561E-03   19.6762       1.71423       2.20794       1.66839       2.18800      0.458321E-01  0.199400E-01   3.85640       1.00524       1.00055      0.891392      0.663151      0.296060       0.00000    
  0.831745E-03   19.0593       1.67052       2.14803       1.62199       2.12677      0.485293E-01  0.212526E-01   3.74876      0.979393      0.974386      0.867046      0.642594      0.285342       0.00000    
  0.911989E-03   18.4570       1.62792       2.08946       1.57653       2.06681      0.513860E-01  0.226536E-01   3.64334      0.954064      0.948718      0.843177      0.622471      0.274911       0.00000    
