 First iteration    1498.5633262770255             1130   1.3261622356433853     
After minimisation    1359.53  1130     1.203

  Partial chi2s 
Dataset    1    451.91   377  HERA1+2 NCep 920                                
Dataset    2     68.04    70  HERA1+2 NCep 820                                
Dataset    3    229.61   254  HERA1+2 NCep 575                                
Dataset    4    221.73   204  HERA1+2 NCep 460                                
Dataset    5    217.15   159  HERA1+2 NCem                                    
Dataset    6     44.62    39  HERA1+2 CCep                                    
Dataset    7     42.87    42  HERA1+2 CCem                                    

 Correlated Chi2    83.605836643238149     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2509   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5184   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.2839   +/-   0.5562        :N:M:D
    4  sysHZComb1004                          0.2020   +/-   0.6184        :N:M:D
    5  sysHZComb1005                          0.8115   +/-   0.6090        :N:M:D
    6  sysHZComb1006                         -0.8766   +/-   0.7877        :N:M:D
    7  sysHZComb1007                          0.1618   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0793   +/-   0.9983        :N:M:D
    9  sysHZComb1009                         -0.0692   +/-   0.9017        :N:M:D
   10  sysHZComb1010                         -0.3247   +/-   0.9933        :N:M:D
   11  sysHZComb1011                         -0.7232   +/-   0.9654        :N:M:D
   12  sysHZComb1012                          0.4128   +/-   0.9715        :N:M:D
   13  sysHZComb1013                         -0.5071   +/-   0.9609        :N:M:D
   14  sysHZComb1014                         -0.1205   +/-   0.9869        :N:M:D
   15  sysHZComb1015                         -0.0841   +/-   0.9616        :N:M:D
   16  sysHZComb1016                         -0.2175   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.3720   +/-   0.9703        :N:M:D
   18  sysHZComb1018                          0.2525   +/-   0.8240        :N:M:D
   19  sysHZComb1019                         -0.4171   +/-   0.9835        :N:M:D
   20  sysHZComb1020                         -0.4497   +/-   0.9812        :N:M:D
   21  sysHZComb1021                          0.0517   +/-   0.9733        :N:M:D
   22  sysHZComb1022                          0.2581   +/-   0.9682        :N:M:D
   23  sysHZComb1023                          0.0744   +/-   0.9450        :N:M:D
   24  sysHZComb1024                          0.0048   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1095   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.9570   +/-   0.9177        :N:M:D
