   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  0.251877      0.515426      0.850493      0.509541      0.848569      0.588480E-02  0.192352E-02   1.35811      0.509541      0.509141      0.339428       0.00000       0.00000       0.00000    
  0.109648E-03  0.311727      0.507755      0.837154      0.501482      0.835086      0.627349E-02  0.206808E-02   1.33657      0.501482      0.501051      0.334034       0.00000       0.00000       0.00000    
  0.120226E-03  0.370420      0.500330      0.824164      0.493625      0.821934      0.670441E-02  0.223061E-02   1.31556      0.493625      0.493160      0.328773       0.00000       0.00000       0.00000    
  0.131825E-03  0.428647      0.493006      0.811317      0.485851      0.808915      0.715475E-02  0.240152E-02   1.29477      0.485851      0.485349      0.323566       0.00000       0.00000       0.00000    
  0.144543E-03  0.486207      0.485827      0.798673      0.478194      0.796088      0.763290E-02  0.258445E-02   1.27428      0.478194      0.477653      0.318435       0.00000       0.00000       0.00000    
  0.158489E-03  0.542870      0.478850      0.786305      0.470696      0.783519      0.815371E-02  0.278605E-02   1.25422      0.470696      0.470111      0.313408       0.00000       0.00000       0.00000    
  0.173779E-03  0.599096      0.471972      0.774073      0.463275      0.771075      0.869688E-02  0.299753E-02   1.23435      0.463275      0.462645      0.308430       0.00000       0.00000       0.00000    
  0.190545E-03  0.654486      0.465289      0.762102      0.456004      0.758873      0.928551E-02  0.322921E-02   1.21488      0.456004      0.455324      0.303549       0.00000       0.00000       0.00000    
  0.208928E-03  0.709231      0.458762      0.750334      0.448847      0.746855      0.991413E-02  0.347892E-02   1.19570      0.448847      0.448113      0.298742       0.00000       0.00000       0.00000    
  0.229085E-03  0.763558      0.452335      0.738699      0.441766      0.734959      0.105689E-01  0.374041E-02   1.17672      0.441766      0.440975      0.293983       0.00000       0.00000       0.00000    
  0.251186E-03  0.816901      0.446156      0.727380      0.434862      0.723346      0.112934E-01  0.403381E-02   1.15821      0.434862      0.434007      0.289338       0.00000       0.00000       0.00000    
  0.275420E-03  0.869826      0.440086      0.716196      0.428034      0.711854      0.120517E-01  0.434289E-02   1.13989      0.428034      0.427112      0.284741       0.00000       0.00000       0.00000    
  0.301992E-03  0.922190      0.434163      0.705196      0.421308      0.700523      0.128555E-01  0.467303E-02   1.12183      0.421308      0.420314      0.280209       0.00000       0.00000       0.00000    
  0.331127E-03  0.973765      0.428458      0.694458      0.414726      0.689421      0.137320E-01  0.503747E-02   1.10415      0.414726      0.413653      0.275768       0.00000       0.00000       0.00000    
  0.363073E-03   1.02496      0.422860      0.683847      0.408213      0.678427      0.146462E-01  0.541977E-02   1.08664      0.408213      0.407056      0.271371       0.00000       0.00000       0.00000    
  0.398101E-03   1.07545      0.417466      0.673475      0.401831      0.667637      0.156351E-01  0.583772E-02   1.06947      0.401831      0.400582      0.267055       0.00000       0.00000       0.00000    
  0.436509E-03   1.12537      0.412247      0.663301      0.395555      0.657012      0.166925E-01  0.628890E-02   1.05257      0.395555      0.394207      0.262805       0.00000       0.00000       0.00000    
  0.478622E-03   1.17492      0.407140      0.653252      0.389346      0.646490      0.177939E-01  0.676140E-02   1.03584      0.389346      0.387894      0.258596       0.00000       0.00000       0.00000    
  0.524798E-03   1.22363      0.402303      0.643499      0.383293      0.636209      0.190100E-01  0.729035E-02   1.01950      0.383293      0.381725      0.254484       0.00000       0.00000       0.00000    
  0.575429E-03   1.27197      0.397596      0.633883      0.377312      0.626034      0.202846E-01  0.784848E-02   1.00335      0.377312      0.375621      0.250414       0.00000       0.00000       0.00000    
  0.630945E-03   1.31983      0.393052      0.624438      0.371419      0.615995      0.216330E-01  0.844344E-02  0.987414      0.371419      0.369597      0.246398       0.00000       0.00000       0.00000    
  0.691816E-03   1.36698      0.388765      0.615254      0.365660      0.606153      0.231052E-01  0.910109E-02  0.971813      0.365660      0.363692      0.242461       0.00000       0.00000       0.00000    
  0.758561E-03   1.41380      0.384603      0.606195      0.359963      0.596404      0.246403E-01  0.979091E-02  0.956366      0.359963      0.357842      0.238561       0.00000       0.00000       0.00000    
  0.831745E-03   1.46001      0.380679      0.597367      0.354382      0.586824      0.262972E-01  0.105434E-01  0.941205      0.354382      0.352094      0.234730       0.00000       0.00000       0.00000    
  0.911989E-03   1.50569      0.376970      0.588742      0.348899      0.577386      0.280709E-01  0.113567E-01  0.926285      0.348899      0.346431      0.230954       0.00000       0.00000       0.00000    
  0.999975E-03   1.55105      0.373395      0.580243      0.343478      0.568035      0.299178E-01  0.122085E-01  0.911512      0.343478      0.340821      0.227214       0.00000       0.00000       0.00000    
  0.109645E-02   1.59565      0.370149      0.572041      0.338197      0.558881      0.319521E-01  0.131595E-01  0.897078      0.338197      0.335329      0.223552       0.00000       0.00000       0.00000    
  0.120223E-02   1.63989      0.367070      0.563984      0.332984      0.549820      0.340866E-01  0.141644E-01  0.882803      0.332984      0.329892      0.219928       0.00000       0.00000       0.00000    
  0.131822E-02   1.68369      0.364190      0.556100      0.327850      0.540867      0.363398E-01  0.152332E-01  0.868717      0.327850      0.324520      0.216347       0.00000       0.00000       0.00000    
  0.144540E-02   1.72681      0.361642      0.548495      0.322841      0.532079      0.388010E-01  0.164157E-01  0.854920      0.322841      0.319247      0.212832       0.00000       0.00000       0.00000    
  0.158485E-02   1.76961      0.359255      0.541022      0.317889      0.523366      0.413662E-01  0.176556E-01  0.841255      0.317889      0.314020      0.209346       0.00000       0.00000       0.00000    
  0.173775E-02   1.81181      0.357171      0.533793      0.313043      0.514788      0.441277E-01  0.190045E-01  0.827831      0.313043      0.308873      0.205915       0.00000       0.00000       0.00000    
