   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  0.254770      0.515430      0.850572      0.509499      0.848507      0.593118E-02  0.206448E-02   1.35801      0.509499      0.509104      0.339403       0.00000       0.00000       0.00000    
  0.109648E-03  0.313455      0.507720      0.837172      0.501398      0.834955      0.632233E-02  0.221770E-02   1.33635      0.501398      0.500973      0.333982       0.00000       0.00000       0.00000    
  0.120226E-03  0.371109      0.500258      0.824127      0.493502      0.821737      0.675591E-02  0.238972E-02   1.31524      0.493502      0.493042      0.328695       0.00000       0.00000       0.00000    
  0.131825E-03  0.428348      0.492898      0.811226      0.485689      0.808656      0.720899E-02  0.257050E-02   1.29434      0.485689      0.485193      0.323462       0.00000       0.00000       0.00000    
  0.144543E-03  0.484992      0.485685      0.798532      0.477995      0.795768      0.769002E-02  0.276383E-02   1.27376      0.477995      0.477461      0.318307       0.00000       0.00000       0.00000    
  0.158489E-03  0.540836      0.478675      0.786117      0.470461      0.783141      0.821388E-02  0.297664E-02   1.25360      0.470461      0.469884      0.313256       0.00000       0.00000       0.00000    
  0.173779E-03  0.596291      0.471767      0.773840      0.463006      0.770641      0.876020E-02  0.319975E-02   1.23365      0.463006      0.462384      0.308256       0.00000       0.00000       0.00000    
  0.190545E-03  0.650999      0.465054      0.761829      0.455702      0.758385      0.935219E-02  0.344389E-02   1.21409      0.455702      0.455031      0.303354       0.00000       0.00000       0.00000    
  0.208928E-03  0.705132      0.458499      0.750024      0.448515      0.746317      0.998432E-02  0.370678E-02   1.19483      0.448515      0.447790      0.298527       0.00000       0.00000       0.00000    
  0.229085E-03  0.758892      0.452046      0.738353      0.441403      0.734371      0.106427E-01  0.398193E-02   1.17577      0.441403      0.440623      0.293748       0.00000       0.00000       0.00000    
  0.251186E-03  0.811772      0.445842      0.727003      0.434471      0.722713      0.113711E-01  0.429021E-02   1.15718      0.434471      0.433628      0.289085       0.00000       0.00000       0.00000    
  0.275420E-03  0.864278      0.439749      0.715792      0.427616      0.711177      0.121334E-01  0.461475E-02   1.13879      0.427616      0.426706      0.284471       0.00000       0.00000       0.00000    
  0.301992E-03  0.916283      0.433805      0.704767      0.420864      0.699806      0.129413E-01  0.496114E-02   1.12067      0.420864      0.419883      0.279922       0.00000       0.00000       0.00000    
  0.331127E-03  0.967581      0.428080      0.694008      0.414258      0.688665      0.138224E-01  0.534304E-02   1.10292      0.414258      0.413199      0.275466       0.00000       0.00000       0.00000    
  0.363073E-03   1.01854      0.422463      0.683378      0.407722      0.677634      0.147411E-01  0.574341E-02   1.08536      0.407722      0.406581      0.271054       0.00000       0.00000       0.00000    
  0.398101E-03   1.06887      0.417053      0.672992      0.401318      0.666811      0.157348E-01  0.618064E-02   1.06813      0.401318      0.400087      0.266724       0.00000       0.00000       0.00000    
  0.436509E-03   1.11868      0.411819      0.662807      0.395022      0.656155      0.167973E-01  0.665218E-02   1.05118      0.395022      0.393693      0.262462       0.00000       0.00000       0.00000    
  0.478622E-03   1.16817      0.406697      0.652749      0.388793      0.645603      0.179038E-01  0.714573E-02   1.03440      0.388793      0.387362      0.258241       0.00000       0.00000       0.00000    
  0.524798E-03   1.21690      0.401849      0.642994      0.382724      0.635296      0.191255E-01  0.769746E-02   1.01802      0.382724      0.381178      0.254119       0.00000       0.00000       0.00000    
  0.575429E-03   1.26530      0.397132      0.633378      0.376726      0.625098      0.204058E-01  0.827924E-02   1.00182      0.376726      0.375059      0.250039       0.00000       0.00000       0.00000    
  0.630945E-03   1.31326      0.392579      0.623936      0.370819      0.615037      0.217602E-01  0.889893E-02  0.985856      0.370819      0.369022      0.246015       0.00000       0.00000       0.00000    
  0.691816E-03   1.36059      0.388284      0.614761      0.365046      0.605178      0.232387E-01  0.958305E-02  0.970224      0.365046      0.363107      0.242071       0.00000       0.00000       0.00000    
  0.758561E-03   1.40762      0.384117      0.605712      0.359337      0.595412      0.247802E-01  0.103002E-01  0.954749      0.359337      0.357247      0.238165       0.00000       0.00000       0.00000    
