   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   86.9132       6.65142       9.45263       6.63335       9.44516      0.180706E-01  0.747006E-02   16.0785       3.54690       3.54530       3.39648       3.08645       2.50339       0.00000    
  0.109648E-03   83.6693       6.43810       9.14291       6.41900       9.13498      0.191034E-01  0.793517E-02   15.5540       3.43612       3.43440       3.28799       2.98288       2.41258       0.00000    
  0.120226E-03   80.5827       6.23393       8.84658       6.21370       8.83813      0.202295E-01  0.844654E-02   15.0518       3.32995       3.32812       3.18405       2.88375       2.32596       0.00000    
  0.131825E-03   77.5587       6.03342       8.55558       6.01202       8.54661      0.213976E-01  0.897895E-02   14.5586       3.22562       3.22367       3.08193       2.78640       2.24100       0.00000    
  0.144543E-03   74.6242       5.83814       8.27225       5.81551       8.26271      0.226257E-01  0.954146E-02   14.0782       3.12393       3.12186       2.98241       2.69158       2.15844       0.00000    
  0.158489E-03   71.8085       5.64985       7.99910       5.62591       7.98895      0.239442E-01  0.101496E-01   13.6149       3.02577       3.02355       2.88636       2.60014       2.07905       0.00000    
  0.173779E-03   69.0503       5.46496       7.73090       5.43965       7.72012      0.253093E-01  0.107815E-01   13.1598       2.92930       2.92694       2.79198       2.51035       2.00120       0.00000    
  0.190545E-03   66.4014       5.28654       7.47214       5.25978       7.46068      0.267684E-01  0.114613E-01   12.7205       2.83610       2.83358       2.70081       2.42368       1.92628       0.00000    
  0.208928E-03   63.8356       5.11309       7.22057       5.08478       7.20839      0.283084E-01  0.121829E-01   12.2932       2.74538       2.74270       2.61209       2.33939       1.85360       0.00000    
  0.229085E-03   61.3237       4.94284       6.97367       4.91294       6.96074      0.299011E-01  0.129316E-01   11.8737       2.65628       2.65342       2.52495       2.25666       1.78237       0.00000    
  0.251186E-03   58.9370       4.78011       6.73768       4.74848       6.72393      0.316315E-01  0.137520E-01   11.4724       2.57094       2.56790       2.44152       2.17754       1.71451       0.00000    
