   6464.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   83.9242       6.41832       9.10370       6.40098       9.09692      0.173389E-01  0.677794E-02   15.4979       3.43113       3.42954       3.28043       2.96985       2.38695       0.00000    
  0.109648E-03   80.8287       6.21487       8.80878       6.19653       8.80157      0.183398E-01  0.720873E-02   14.9981       3.32532       3.32362       3.17690       2.87121       2.30106       0.00000    
  0.120226E-03   77.8813       6.02001       8.52644       6.00058       8.51875      0.194322E-01  0.768345E-02   14.5193       3.22384       3.22203       3.07765       2.77674       2.21908       0.00000    
  0.131825E-03   74.9928       5.82860       8.24912       5.80804       8.24094      0.205657E-01  0.817819E-02   14.0490       3.12411       3.12217       2.98010       2.68393       2.13866       0.00000    
  0.144543E-03   72.1886       5.64212       7.97899       5.62037       7.97029      0.217582E-01  0.870159E-02   13.5907       3.02686       3.02479       2.88500       2.59351       2.06049       0.00000    
  0.158489E-03   69.4963       5.46223       7.71845       5.43919       7.70918      0.230394E-01  0.926853E-02   13.1484       2.93292       2.93072       2.79317       2.50627       1.98529       0.00000    
  0.173779E-03   66.8581       5.28553       7.46256       5.26117       7.45270      0.243665E-01  0.985817E-02   12.7139       2.84060       2.83825       2.70292       2.42057       1.91153       0.00000    
  0.190545E-03   64.3232       5.11495       7.21554       5.08916       7.20505      0.257861E-01  0.104938E-01   12.2942       2.75134       2.74884       2.61569       2.33782       1.84053       0.00000    
  0.208928E-03   61.8666       4.94903       6.97531       4.92175       6.96414      0.272853E-01  0.111693E-01   11.8859       2.66444       2.66177       2.53076       2.25731       1.77162       0.00000    
  0.229085E-03   59.4608       4.78615       6.73947       4.75731       6.72760      0.288364E-01  0.118710E-01   11.4849       2.57905       2.57621       2.44733       2.17826       1.70406       0.00000    
  0.251186E-03   57.1733       4.63037       6.51391       4.59985       6.50127      0.305233E-01  0.126416E-01   11.1011       2.49722       2.49419       2.36740       2.10263       1.63968       0.00000    
  0.275420E-03   54.9353       4.47758       6.29267       4.44531       6.27923      0.322745E-01  0.134453E-01   10.7245       2.41689       2.41366       2.28893       2.02842       1.57663       0.00000    
  0.301992E-03   52.7639       4.32882       6.07724       4.29471       6.06295      0.341121E-01  0.142934E-01   10.3577       2.33857       2.33513       2.21244       1.95614       1.51537       0.00000    
  0.331127E-03   50.6847       4.18568       5.86991       4.14960       5.85470      0.360849E-01  0.152117E-01   10.0043       2.26306       2.25940       2.13871       1.88654       1.45659       0.00000    
  0.363073E-03   48.6491       4.04522       5.66642       4.00709       5.65025      0.381265E-01  0.161661E-01   9.65735       2.18888       2.18498       2.06628       1.81822       1.39899       0.00000    
  0.398101E-03   46.6953       3.90978       5.47014       3.86947       5.45295      0.403034E-01  0.171917E-01   9.32242       2.11719       2.11305       1.99630       1.75228       1.34360       0.00000    
  0.436509E-03   44.8063       3.77835       5.27960       3.73575       5.26132      0.426013E-01  0.182817E-01   8.99707       2.04750       2.04309       1.92827       1.68825       1.28996       0.00000    
  0.478622E-03   42.9581       3.64946       5.09270       3.60448       5.07328      0.449766E-01  0.194129E-01   8.67777       1.97907       1.97438       1.86147       1.62542       1.23743       0.00000    
  0.524798E-03   41.2037       3.52643       4.91415       3.47888       4.89350      0.475493E-01  0.206506E-01   8.37238       1.91353       1.90854       1.79751       1.56535       1.18744       0.00000    
  0.575429E-03   39.4905       3.40600       4.73930       3.35578       4.71736      0.502198E-01  0.219416E-01   8.07314       1.84928       1.84397       1.73480       1.50651       1.13858       0.00000    
  0.630945E-03   37.8293       3.28886       4.56912       3.23585       4.54582      0.530138E-01  0.233000E-01   7.78166       1.78664       1.78101       1.67368       1.44921       1.09113       0.00000    
  0.691816E-03   36.2435       3.17652       4.40573       3.12051       4.38096      0.560092E-01  0.247696E-01   7.50148       1.72636       1.72037       1.61485       1.39415       1.04574       0.00000    
  0.758561E-03   34.6927       3.06643       4.24552       3.00732       4.21922      0.591049E-01  0.262951E-01   7.22654       1.66718       1.66082       1.55710       1.34014       1.00130       0.00000    
  0.831745E-03   33.2060       2.96046       4.09112       2.89807       4.06319      0.623931E-01  0.279283E-01   6.96126       1.61001       1.60325       1.50131       1.28806      0.958622       0.00000    
  0.911989E-03   31.7723       2.85795       3.94156       2.79209       3.91190      0.658601E-01  0.296629E-01   6.70399       1.55452       1.54735       1.44716       1.23756      0.917394       0.00000    
  0.999975E-03   30.3712       2.75756       3.79499       2.68812       3.76353      0.694388E-01  0.314610E-01   6.45165       1.50007       1.49246       1.39401       1.18806      0.877062       0.00000    
  0.109645E-02   29.0437       2.66202       3.65518       2.58872       3.62177      0.732955E-01  0.334187E-01   6.21049       1.44795       1.43987       1.34314       1.14078      0.838752       0.00000    
  0.120223E-02   27.7502       2.56874       3.51852       2.49145       3.48306      0.772960E-01  0.354601E-01   5.97451       1.39692       1.38835       1.29333       1.09453      0.801380       0.00000    
  0.131822E-02   26.4969       2.47815       3.38559       2.39668       3.34799      0.814671E-01  0.376008E-01   5.74467       1.34718       1.33810       1.24477       1.04951      0.765118       0.00000    
  0.144540E-02   25.3047       2.39167       3.25834       2.30575       3.21842      0.859264E-01  0.399117E-01   5.52417       1.29940       1.28977       1.19811       1.00635      0.730542       0.00000    
  0.158485E-02   24.1401       2.30708       3.13368       2.21656       3.09137      0.905264E-01  0.423064E-01   5.30793       1.25252       1.24232       1.15232      0.964041      0.696734       0.00000    
  0.173775E-02   23.0253       2.22590       3.01370       2.13051       2.96884      0.953889E-01  0.448583E-01   5.09935       1.20724       1.19645       1.10809      0.923265      0.664305       0.00000    
  0.190540E-02   21.9534       2.14769       2.89778       2.04718       2.85022      0.100504      0.475633E-01   4.89740       1.16337       1.15193       1.06521      0.883818      0.633071       0.00000    
