   6464.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   84.1481       6.43626       9.12854       6.41846       9.12120      0.177985E-01  0.733743E-02   15.5397       3.43997       3.43839       3.28922       2.97849       2.39359       0.00000    
  0.109648E-03   81.0438       6.23219       8.83274       6.21337       8.82494      0.188179E-01  0.779543E-02   15.0383       3.33381       3.33213       3.18537       2.87956       2.30745       0.00000    
  0.120226E-03   78.0880       6.03676       8.54955       6.01683       8.54125      0.199297E-01  0.829915E-02   14.5581       3.23201       3.23021       3.08581       2.78482       2.22523       0.00000    
  0.131825E-03   75.1913       5.84478       8.27141       5.82370       8.26259      0.210830E-01  0.882364E-02   14.0863       3.13195       3.13004       2.98797       2.69175       2.14459       0.00000    
  0.144543E-03   72.3791       5.65776       8.00049       5.63546       7.99111      0.222958E-01  0.937790E-02   13.6266       3.03439       3.03235       2.89258       2.60107       2.06618       0.00000    
  0.158489E-03   69.6792       5.47734       7.73918       5.45374       7.72920      0.235981E-01  0.997727E-02   13.1829       2.94016       2.93798       2.80046       2.51358       1.99077       0.00000    
  0.173779E-03   67.0337       5.30013       7.48255       5.27518       7.47195      0.249466E-01  0.106001E-01   12.7471       2.84754       2.84522       2.70993       2.42764       1.91680       0.00000    
  0.190545E-03   64.4915       5.12905       7.23482       5.10266       7.22355      0.263882E-01  0.112704E-01   12.3262       2.75800       2.75553       2.62244       2.34465       1.84559       0.00000    
  0.208928E-03   62.0281       4.96265       6.99390       4.93474       6.98192      0.279100E-01  0.119820E-01   11.9167       2.67082       2.66818       2.53726       2.26392       1.77648       0.00000    
  0.229085E-03   59.6155       4.79930       6.75738       4.76982       6.74466      0.294841E-01  0.127204E-01   11.5145       2.58517       2.58236       2.45357       2.18465       1.70873       0.00000    
  0.251186E-03   57.3216       4.64308       6.53118       4.61188       6.51765      0.311947E-01  0.135298E-01   11.1295       2.50309       2.50009       2.37340       2.10879       1.64417       0.00000    
  0.275420E-03   55.0774       4.48985       6.30932       4.45688       6.29495      0.329699E-01  0.143731E-01   10.7518       2.42251       2.41931       2.29470       2.03438       1.58093       0.00000    
  0.301992E-03   52.8999       4.34067       6.09329       4.30584       6.07803      0.348319E-01  0.152619E-01   10.3839       2.34395       2.34055       2.21799       1.96189       1.51949       0.00000    
  0.331127E-03   50.8149       4.19712       5.88538       4.16029       5.86916      0.368297E-01  0.162227E-01   10.0295       2.26820       2.26458       2.14403       1.89209       1.46054       0.00000    
  0.363073E-03   48.7737       4.05627       5.68133       4.01737       5.66411      0.388965E-01  0.172203E-01   9.68148       2.19380       2.18994       2.07139       1.82357       1.40278       0.00000    
  0.398101E-03   46.8144       3.92044       5.48451       3.87934       5.46622      0.410989E-01  0.182905E-01   9.34556       2.12189       2.11779       2.00120       1.75745       1.34722       0.00000    
  0.436509E-03   44.9201       3.78864       5.29346       3.74522       5.27403      0.434228E-01  0.194263E-01   9.01925       2.05199       2.04763       1.93297       1.69323       1.29343       0.00000    
  0.478622E-03   43.0668       3.65939       5.10604       3.61357       5.08544      0.458241E-01  0.206041E-01   8.69901       1.98335       1.97872       1.86598       1.63021       1.24074       0.00000    
  0.524798E-03   41.3075       3.53601       4.92702       3.48759       4.90513      0.484231E-01  0.218900E-01   8.39272       1.91762       1.91269       1.80183       1.56997       1.19061       0.00000    
  0.575429E-03   39.5895       3.41525       4.75170       3.36413       4.72847      0.511200E-01  0.232299E-01   8.09260       1.85317       1.84793       1.73894       1.51095       1.14160       0.00000    
  0.630945E-03   37.9237       3.29778       4.58107       3.24384       4.55643      0.539404E-01  0.246380E-01   7.80027       1.79035       1.78478       1.67764       1.45348       1.09401       0.00000    
  0.691816E-03   36.3335       3.18512       4.41726       3.12816       4.39110      0.569621E-01  0.261585E-01   7.51926       1.72989       1.72397       1.61864       1.39827       1.04849       0.00000    
  0.758561E-03   34.7784       3.07472       4.25662       3.01463       4.22889      0.600841E-01  0.277354E-01   7.24352       1.67054       1.66425       1.56072       1.34410       1.00392       0.00000    
  0.831745E-03   33.2875       2.96845       4.10183       2.90505       4.07241      0.633982E-01  0.294207E-01   6.97746       1.61320       1.60653       1.50477       1.29185      0.961108       0.00000    
  0.911989E-03   31.8498       2.86565       3.95189       2.79876       3.92068      0.668908E-01  0.312078E-01   6.71944       1.55755       1.55046       1.45046       1.24120      0.919757       0.00000    
  0.999975E-03   30.4448       2.76498       3.80495       2.69448       3.77189      0.704948E-01  0.330586E-01   6.46637       1.50294       1.49542       1.39716       1.19154      0.879302       0.00000    
  0.109645E-02   29.1136       2.66916       3.66479       2.59479       3.62972      0.743759E-01  0.350694E-01   6.22451       1.45067       1.44269       1.34615       1.14411      0.840876       0.00000    
  0.120223E-02   27.8164       2.57562       3.52779       2.49722       3.49062      0.784002E-01  0.371637E-01   5.98784       1.39950       1.39104       1.29620       1.09772      0.803389       0.00000    
  0.131822E-02   26.5596       2.48476       3.39452       2.40217       3.35517      0.825943E-01  0.393570E-01   5.75734       1.34962       1.34065       1.24750       1.05255      0.767016       0.00000    
  0.144540E-02   25.3640       2.39804       3.26696       2.31096       3.22524      0.870751E-01  0.417198E-01   5.53620       1.30171       1.29220       1.20071       1.00926      0.732332       0.00000    
  0.158485E-02   24.1962       2.31320       3.14200       2.22150       3.09784      0.916958E-01  0.441658E-01   5.31934       1.25469       1.24463       1.15479      0.966810      0.698418       0.00000    
  0.173775E-02   23.0782       2.23177       3.02173       2.13519       2.97497      0.965774E-01  0.467678E-01   5.11016       1.20929       1.19864       1.11044      0.925899      0.665888       0.00000    
  0.190540E-02   22.0033       2.15333       2.90554       2.05162       2.85602      0.101709      0.495211E-01   4.90764       1.16530       1.15402       1.06745      0.886318      0.634555       0.00000    
  0.208923E-02   20.9543       2.07668       2.79180       1.96969       2.73943      0.106994      0.523670E-01   4.70912       1.12215       1.11022       1.02527      0.847536      0.603940       0.00000    
  0.229079E-02   19.9625       2.00406       2.68352       1.89141       2.62808      0.112647      0.554389E-01   4.51949       1.08088       1.06826      0.984897      0.810534      0.574922       0.00000    
  0.251180E-02   18.9984       1.93341       2.57790       1.81491       2.51927      0.118498      0.586332E-01   4.33418       1.04051       1.02718      0.945409      0.774397      0.546679       0.00000    
  0.275413E-02   18.0652       1.86497       2.47526       1.74040       2.41330      0.124568      0.619640E-01   4.15369       1.00117      0.987092      0.906903      0.739228      0.519301       0.00000    
  0.301984E-02   17.1809       1.80006       2.37736       1.66904       2.31183      0.131022      0.655357E-01   3.98087      0.963447      0.948575      0.869956      0.705595      0.493295       0.00000    
  0.331118E-02   16.3183       1.73675       2.28159       1.59909       2.21236      0.137658      0.692226E-01   3.81146      0.926446      0.910759      0.833704      0.672649      0.467901       0.00000    
  0.363064E-02   15.4940       1.67626       2.18956       1.53163       2.11644      0.144622      0.731193E-01   3.64808      0.890720      0.874177      0.798679      0.640914      0.443585       0.00000    
  0.398091E-02   14.7041       1.61833       2.10094       1.46642       2.02371      0.151910      0.772246E-01   3.49014      0.856147      0.838708      0.764761      0.610277      0.420243       0.00000    
  0.436498E-02   13.9343       1.56192       2.01431       1.40253       1.93285      0.159390      0.814545E-01   3.33538      0.822247      0.803892      0.731492      0.580283      0.397471       0.00000    
  0.478610E-02   13.2083       1.50884       1.93206       1.34152       1.84609      0.167316      0.859772E-01   3.18761      0.789824      0.770499      0.699641      0.551699      0.375946       0.00000    
  0.524785E-02   12.5046       1.45748       1.85206       1.28199       1.76140      0.175487      0.906622E-01   3.04339      0.758153      0.737830      0.668512      0.523836      0.355056       0.00000    
  0.575415E-02   11.8241       1.40791       1.77441       1.22400       1.67889      0.183915      0.955174E-01   2.90289      0.727269      0.705921      0.638141      0.496727      0.334831       0.00000    
