   6464.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   83.8752       6.41493       9.09861       6.39719       9.09144      0.177453E-01  0.716631E-02   15.4886       3.42898       3.42740       3.27846       2.96821       2.38558       0.00000    
  0.109648E-03   80.7816       6.21161       8.80388       6.19285       8.79627      0.187622E-01  0.761600E-02   14.9891       3.32322       3.32154       3.17499       2.86963       2.29974       0.00000    
  0.120226E-03   77.8360       6.01689       8.52172       5.99702       8.51361      0.198712E-01  0.811085E-02   14.5106       3.22180       3.22001       3.07579       2.77522       2.21781       0.00000    
  0.131825E-03   74.9493       5.82561       8.24458       5.80458       8.23595      0.210218E-01  0.862624E-02   14.0405       3.12212       3.12020       2.97830       2.68247       2.13744       0.00000    
  0.144543E-03   72.1468       5.63925       7.97462       5.61702       7.96545      0.222317E-01  0.917106E-02   13.5825       3.02492       3.02288       2.88326       2.59210       2.05931       0.00000    
  0.158489E-03   69.4561       5.45947       7.71424       5.43594       7.70448      0.235309E-01  0.976049E-02   13.1404       2.93103       2.92885       2.79147       2.50491       1.98416       0.00000    
  0.173779E-03   66.8195       5.28289       7.45851       5.25801       7.44813      0.248763E-01  0.103732E-01   12.7061       2.83875       2.83643       2.70127       2.41926       1.91044       0.00000    
  0.190545E-03   64.2860       5.11241       7.21164       5.08609       7.20061      0.263146E-01  0.110328E-01   12.2867       2.74953       2.74706       2.61408       2.33656       1.83947       0.00000    
  0.208928E-03   61.8309       4.94660       6.97156       4.91876       6.95982      0.278330E-01  0.117333E-01   11.8786       2.66267       2.66003       2.52920       2.25610       1.77060       0.00000    
  0.229085E-03   59.4265       4.78381       6.73586       4.75441       6.72340      0.294035E-01  0.124605E-01   11.4778       2.57732       2.57451       2.44581       2.17709       1.70308       0.00000    
  0.251186E-03   57.1403       4.62813       6.51044       4.59702       6.49718      0.311104E-01  0.132580E-01   11.0942       2.49553       2.49253       2.36591       2.10149       1.63874       0.00000    
  0.275420E-03   54.9036       4.47543       6.28933       4.44255       6.27524      0.328818E-01  0.140891E-01   10.7178       2.41523       2.41204       2.28749       2.02732       1.57572       0.00000    
  0.301992E-03   52.7333       4.32676       6.07404       4.29202       6.05907      0.347398E-01  0.149654E-01   10.3511       2.33695       2.33355       2.21103       1.95508       1.51449       0.00000    
  0.331127E-03   50.6553       4.18371       5.86683       4.14698       5.85092      0.367334E-01  0.159131E-01   9.99789       2.26146       2.25784       2.13733       1.88551       1.45574       0.00000    
  0.363073E-03   48.6209       4.04333       5.66347       4.00454       5.64657      0.387959E-01  0.168974E-01   9.65110       2.18731       2.18346       2.06494       1.81722       1.39817       0.00000    
  0.398101E-03   46.6681       3.90797       5.46731       3.86698       5.44935      0.409939E-01  0.179538E-01   9.31633       2.11566       2.11156       1.99499       1.75132       1.34280       0.00000    
  0.436509E-03   44.7801       3.77662       5.27689       3.73331       5.25781      0.433131E-01  0.190755E-01   8.99112       2.04599       2.04163       1.92699       1.68731       1.28919       0.00000    
  0.478622E-03   42.9330       3.64780       5.09010       3.60210       5.06986      0.457097E-01  0.202389E-01   8.67195       1.97759       1.97295       1.86022       1.62451       1.23669       0.00000    
  0.524798E-03   41.1795       3.52485       4.91166       3.47654       4.89015      0.483037E-01  0.215098E-01   8.36670       1.91208       1.90714       1.79629       1.56447       1.18672       0.00000    
  0.575429E-03   39.4672       3.40449       4.73692       3.35349       4.71409      0.509955E-01  0.228345E-01   8.06758       1.84785       1.84260       1.73360       1.50565       1.13788       0.00000    
  0.630945E-03   37.8069       3.28741       4.56685       3.23360       4.54262      0.538107E-01  0.242272E-01   7.77623       1.78523       1.77966       1.67250       1.44837       1.09046       0.00000    
  0.691816E-03   36.2219       3.17514       4.40357       3.11831       4.37784      0.568269E-01  0.257318E-01   7.49615       1.72498       1.71905       1.61370       1.39334       1.04509       0.00000    
  0.758561E-03   34.6719       3.06511       4.24346       3.00516       4.21617      0.599432E-01  0.272926E-01   7.22133       1.66582       1.65953       1.55597       1.33935       1.00067       0.00000    
  0.831745E-03   33.1859       2.95920       4.08917       2.89595       4.06021      0.632516E-01  0.289616E-01   6.95615       1.60867       1.60199       1.50021       1.28728      0.958007       0.00000    
  0.911989E-03   31.7530       2.85674       3.93972       2.79001       3.90898      0.667382E-01  0.307322E-01   6.69899       1.55320       1.54611       1.44608       1.23680      0.916798       0.00000    
  0.999975E-03   30.3526       2.75641       3.79325       2.68608       3.76068      0.703361E-01  0.325663E-01   6.44676       1.49877       1.49124       1.39295       1.18731      0.876484       0.00000    
  0.109645E-02   29.0258       2.66093       3.65354       2.58672       3.61898      0.742109E-01  0.345603E-01   6.20569       1.44667       1.43868       1.34210       1.14005      0.838192       0.00000    
  0.120223E-02   27.7329       2.56770       3.51697       2.48947       3.48033      0.782287E-01  0.366377E-01   5.96981       1.39566       1.38719       1.29231       1.09381      0.800836       0.00000    
  0.131822E-02   26.4803       2.47716       3.38414       2.39474       3.34532      0.824162E-01  0.388143E-01   5.74006       1.34594       1.33696       1.24377       1.04881      0.764590       0.00000    
  0.144540E-02   25.2886       2.39073       3.25698       2.30384       3.21582      0.868903E-01  0.411604E-01   5.51966       1.29818       1.28866       1.19713       1.00566      0.730030       0.00000    
  0.158485E-02   24.1246       2.30618       3.13242       2.21468       3.08883      0.915041E-01  0.435898E-01   5.30351       1.25131       1.24123       1.15136      0.963368      0.696236       0.00000    
  0.173775E-02   23.0104       2.22504       3.01253       2.12866       2.96636      0.963786E-01  0.461754E-01   5.09502       1.20606       1.19538       1.10716      0.922604      0.663822       0.00000    
  0.190540E-02   21.9391       2.14687       2.89671       2.04537       2.84779      0.101503      0.489128E-01   4.89316       1.16220       1.15089       1.06430      0.883168      0.632602       0.00000    
