   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   86.8371       6.64513       9.44398       6.62711       9.43654      0.180215E-01  0.744442E-02   16.0636       3.54369       3.54211       3.39334       3.08341       2.50109       0.00000    
  0.109648E-03   83.5964       6.43204       9.13460       6.41298       9.12669      0.190526E-01  0.790835E-02   15.5397       3.43303       3.43134       3.28497       2.97996       2.41037       0.00000    
  0.120226E-03   80.5129       6.22808       8.83857       6.20790       8.83016      0.201770E-01  0.841848E-02   15.0381       3.32697       3.32517       3.18114       2.88093       2.32384       0.00000    
  0.131825E-03   77.4918       6.02778       8.54789       6.00643       8.53894      0.213433E-01  0.894961E-02   14.5454       3.22276       3.22084       3.07913       2.78367       2.23897       0.00000    
  0.144543E-03   74.5603       5.83270       8.26485       5.81013       8.25534      0.225697E-01  0.951081E-02   14.0655       3.12118       3.11913       2.97972       2.68896       2.15649       0.00000    
  0.158489E-03   71.7473       5.64461       7.99199       5.62073       7.98187      0.238864E-01  0.101176E-01   13.6026       3.02311       3.02093       2.88376       2.59761       2.07718       0.00000    
  0.173779E-03   68.9918       5.45991       7.72407       5.43466       7.71332      0.252497E-01  0.107481E-01   13.1480       2.92675       2.92443       2.78949       2.50791       1.99941       0.00000    
  0.190545E-03   66.3455       5.28168       7.46557       5.25497       7.45415      0.267070E-01  0.114265E-01   12.7091       2.83365       2.83117       2.69841       2.42133       1.92457       0.00000    
  0.208928E-03   63.7822       5.10840       7.21427       5.08015       7.20212      0.282452E-01  0.121465E-01   12.2823       2.74302       2.74038       2.60978       2.33713       1.85196       0.00000    
  0.229085E-03   61.2727       4.93832       6.96762       4.90849       6.95473      0.298361E-01  0.128937E-01   11.8632       2.65401       2.65120       2.52273       2.25448       1.78080       0.00000    
  0.251186E-03   58.8883       4.77576       6.73187       4.74420       6.71816      0.315647E-01  0.137125E-01   11.4624       2.56876       2.56576       2.43939       2.17543       1.71301       0.00000    
  0.275420E-03   56.5562       4.61636       6.50070       4.58301       6.48613      0.333585E-01  0.145655E-01   11.0691       2.48509       2.48190       2.35759       2.09791       1.64664       0.00000    
